id	team	nation	pos	rating	potential	pace	shooting	passing	dribbling	defending	physical	rare
53302	52	27	CDM	84	85	69	75	81	78	83	84	1
120274	55	27	ST	84	80	85	86	80	87	45	60	1
121933	28	21	GK	84	85	86	81	76	86	46	83	1
136138	175	54	CAM	84	83	76	78	83	87	52	62	1
137186	45	27	CB	84	84	69	40	61	59	86	80	1
139668	46	27	GK	84	81	87	80	66	89	55	82	1
139869	325	34	CAM	84	85	72	77	87	83	61	51	1
142754	241	52	CB	84	84	68	60	74	66	85	70	1
143745	240	48	LM	84	88	74	75	84	88	49	70	1
146530	241	54	RB	84	84	90	72	81	83	79	72	1
146758	18	45	ST	84	82	78	82	64	78	53	81	1
148119	315	40	GK	84	85	85	81	83	86	56	79	1
148803	34	34	ST	84	84	71	82	61	71	49	82	1
158625	21	54	CB	84	84	68	59	76	70	84	81	1
159287	47	27	CDM	84	84	68	77	87	80	71	63	1
162835	44	44	GK	84	82	87	80	70	88	57	84	1
165239	10	18	LM	84	87	81	76	83	86	50	60	1
167664	48	52	ST	84	86	78	81	63	76	45	75	1
167948	18	18	GK	84	86	86	80	74	89	63	81	1
168435	73	27	GK	84	85	86	79	73	87	50	85	1
171877	48	43	CAM	84	86	76	80	83	82	68	74	1
173210	45	27	CM	84	88	79	78	83	83	76	68	1
177610	21	45	CB	84	86	57	62	76	72	84	82	1
179846	243	21	CDM	84	86	59	71	74	64	84	78	1
181820	10	15	ST	84	87	81	81	77	87	50	76	1
182521	21	21	CAM	84	88	57	83	85	83	62	56	1
186627	47	27	ST	84	90	84	82	67	85	48	75	1
186942	22	21	CM	84	87	82	73	84	87	74	62	1
189362	100769	54	RW	84	86	86	85	79	83	60	74	1
190871	241	54	LW	84	91	90	80	76	92	43	58	1
192119	240	7	GK	84	88	82	88	69	86	46	84	1
197781	243	45	CAM	84	88	80	73	81	88	46	61	1
2196	22	21	GK	83	83	83	84	60	85	38	86	1
7289	11	14	CB	83	79	58	43	66	60	84	78	1
11141	46	21	ST	83	82	75	75	62	75	46	86	1
13038	241	45	CB	83	83	64	48	64	55	85	80	1
13732	5	14	CB	83	83	42	47	58	50	84	83	1
13743	9	14	CM	83	83	67	84	86	77	73	75	1
20800	100769	38	LW	83	83	86	75	81	87	44	51	1
24630	48	45	GK	83	83	83	78	90	84	50	83	1
31432	325	108	ST	83	84	72	83	69	76	51	86	1
45574	28	34	CAM	83	82	60	81	84	82	52	58	1
106573	241	45	GK	83	83	82	78	77	83	60	90	1
106850	45	15	ST	83	79	80	81	79	85	48	76	1
113422	240	45	ST	83	83	77	85	74	85	47	71	1
120533	243	38	CB	83	83	74	48	60	58	82	80	1
139068	11	38	RM	83	82	84	80	79	88	43	52	1
146439	10	45	ST	83	83	72	82	62	78	51	82	1
146748	243	45	GK	83	84	81	86	76	79	34	83	1
150724	10	14	GK	83	83	85	76	79	87	56	81	1
157503	241	103	CDM	83	85	72	56	78	76	83	76	1
158133	34	59	RM	83	83	88	77	80	85	53	65	1
162347	69	38	CM	83	86	78	76	83	82	74	69	1
163631	7	14	LB	83	82	79	74	79	79	79	72	1
163705	219	18	GK	83	86	83	82	80	82	53	80	1
163925	189	27	CM	83	83	72	82	85	84	53	49	1
164994	22	37	RM	83	83	93	75	78	82	66	58	1
167905	11	57	RM	83	81	87	68	79	82	58	66	1
173771	22	37	RB	83	83	85	66	77	75	81	76	1
176676	243	54	LB	83	85	82	67	80	84	81	70	1
179844	240	45	ST	83	87	82	78	58	79	56	78	1
180403	5	54	RM	83	84	88	71	78	88	48	41	1
180432	46	54	CM	83	86	73	83	83	86	70	66	1
180930	10	8	ST	83	83	72	82	67	80	51	74	1
181783	21	10	ST	83	83	77	78	62	77	53	88	1
182493	240	60	CB	83	84	66	49	67	58	83	83	1
189358	11	163	LM	83	85	83	73	75	88	45	52	1
198710	69	56	CAM	83	89	79	79	82	85	55	66	1
1238	52	27	CF	82	81	51	85	88	84	47	52	1
1256	517	34	CM	82	82	64	80	86	84	60	62	1
21146	11	14	CM	82	80	60	71	84	75	75	70	1
23461	44	52	CB	82	80	55	41	58	44	87	76	1
28130	1035	54	CAM	82	81	54	77	86	87	44	60	1
30110	144	9	ST	82	82	66	81	82	82	43	80	1
45119	1	45	CDM	82	80	55	78	86	82	73	68	1
45186	110374	45	RW	82	79	76	74	84	87	42	51	1
48717	15	54	GK	82	82	83	77	67	86	39	82	1
49369	5	45	ST	82	82	77	82	70	82	48	75	1
52091	11	18	LB	82	80	78	51	78	76	80	78	1
112253	69	18	CDM	82	84	53	51	79	70	80	74	1
123603	44	52	CB	82	81	69	46	67	62	84	80	1
134979	10	52	CB	82	79	39	39	67	54	85	81	1
135377	517	54	GK	82	82	81	81	70	87	52	80	1
138449	47	54	CAM	82	83	70	80	79	84	42	50	1
142708	44	52	ST	82	79	77	79	62	80	45	80	1
142784	10	52	RB	82	82	74	56	74	73	83	77	1
152039	9	13	CB	82	81	67	65	69	64	81	79	1
152908	11	14	LM	82	79	88	76	75	85	44	46	1
152999	44	52	ST	82	82	85	81	77	84	44	72	1
160774	567	54	ST	82	79	64	80	69	76	49	82	1
161956	110374	45	CM	82	84	69	75	86	81	70	59	1
162131	45	45	ST	82	82	62	76	58	71	53	87	1
164169	240	54	LB	82	82	83	63	78	79	81	67	1
167628	1819	18	GK	82	84	83	80	78	85	55	81	1
167943	13	18	CM	82	82	68	76	82	78	73	69	1
169416	457	83	RW	82	87	86	76	73	86	46	64	1
170481	234	52	CB	82	85	53	58	71	65	84	81	1
170797	22	48	CM	82	84	56	73	85	82	70	51	1
172871	18	7	CB	82	84	72	67	74	73	81	82	1
173221	46	27	RW	82	85	84	77	82	84	66	60	1
177326	219	18	CAM	82	80	84	73	82	83	42	48	0
177509	52	129	CB	82	87	73	36	60	63	84	80	1
177600	448	45	CM	82	84	67	78	84	76	74	56	1
178224	11	83	ST	82	83	88	76	62	75	44	77	1
179784	34	21	CB	82	84	65	47	68	64	83	82	1
179944	5	54	CB	82	83	77	67	74	72	79	80	1
182494	325	60	GK	82	86	78	80	79	87	63	81	1
183280	461	18	CB	82	84	54	56	65	58	81	84	1
183284	325	103	CB	82	81	69	60	68	57	83	85	1
183556	22	51	CB	82	84	72	59	64	53	80	82	1
184941	241	55	RW	82	88	87	75	74	85	53	63	1
188152	5	54	CAM	82	87	81	72	78	85	41	51	1
189332	241	45	LB	82	85	92	68	76	82	79	68	1
189461	1	14	CM	82	86	79	68	83	85	72	63	1
190460	18	13	LM	82	88	83	74	83	84	55	52	1
193080	11	45	GK	82	87	86	73	86	88	51	75	1
200949	73	54	RW	82	90	92	77	78	88	53	54	1
3813	58	18	GK	81	81	80	78	84	84	32	78	1
4667	52	27	GK	81	80	82	80	62	81	34	84	1
5471	5	14	CM	81	80	60	85	84	78	69	71	1
7631	50	27	CF	81	81	54	80	88	87	45	60	1
16254	7	95	GK	81	81	83	77	77	83	50	80	0
25420	21	59	ST	81	79	64	80	65	81	48	78	1
41635	47	18	CB	81	78	69	46	62	62	80	82	1
45674	5	117	CDM	81	76	65	74	78	75	81	76	1
48745	13	52	CB	81	80	67	55	70	69	80	80	1
50542	18	14	ST	81	80	83	83	56	78	42	68	1
116494	59	18	GK	81	80	79	79	80	84	38	82	1
124375	325	48	ST	81	77	84	77	72	76	59	79	0
135460	111044	54	CAM	81	80	46	80	84	82	45	65	1
135507	10	54	CM	81	83	83	76	83	81	70	54	0
136130	73	54	CB	81	83	55	65	57	57	79	86	1
137262	32	21	ST	81	81	67	79	70	69	58	83	1
137677	1960	34	GK	81	81	83	74	76	84	60	82	1
138412	10	14	RM	81	80	70	77	84	79	73	70	1
138726	10	14	CB	81	79	53	51	65	59	82	85	1
139094	236	54	GK	81	80	83	78	76	85	64	80	1
146482	457	45	CAM	81	80	66	73	86	81	49	66	1
150656	65	18	CDM	81	81	66	53	78	73	79	72	0
152554	10	18	LB	81	80	88	44	75	78	79	70	1
155897	111144	95	CF	81	81	73	81	75	81	53	84	1
157304	1	7	CB	81	79	71	66	71	63	81	85	1
159145	66	18	ST	81	78	73	80	60	75	51	78	1
159261	45	27	ST	81	78	75	84	68	75	44	70	1
162240	18	7	CM	81	82	81	72	76	86	71	74	1
162409	110374	27	ST	81	84	80	82	70	82	42	59	1
164435	100765	129	CAM	81	81	79	73	79	86	48	50	1
164859	1	14	RM	81	85	96	72	71	80	46	55	1
165229	1	18	CB	81	82	77	41	67	61	80	80	1
165580	461	54	GK	81	85	90	72	74	90	55	73	1
166706	9	43	CB	81	81	61	38	58	52	81	83	1
168609	240	54	CB	81	82	76	48	58	62	80	83	1
168651	481	10	CAM	81	84	69	81	86	79	61	53	1
169051	44	56	CM	81	84	78	82	82	83	76	78	1
170368	18	52	RW	81	85	80	80	76	88	41	65	1
170890	73	18	CDM	81	86	78	64	77	74	83	76	1
171897	461	83	LB	81	79	87	73	78	84	72	64	1
172723	1806	8	GK	81	84	83	81	74	86	52	78	1
173909	34	117	CM	81	84	77	80	78	81	75	81	1
174543	457	55	GK	81	81	84	74	88	85	55	78	1
176266	9	54	CDM	81	82	70	45	78	72	80	75	1
176769	461	54	CAM	81	81	76	78	67	84	45	61	0
176944	11	7	CDM	81	82	71	72	77	76	81	85	1
176949	144	72	RW	81	78	70	76	76	85	57	67	0
177134	5	136	ST	81	80	78	80	65	77	58	81	1
177457	32	21	CM	81	84	70	63	80	73	82	74	1
177458	22	21	CDM	81	84	66	55	74	65	83	75	1
178005	237	38	GK	81	84	85	79	82	82	45	79	1
178393	54	27	CF	81	84	84	77	81	84	52	58	1
179752	234	58	ST	81	80	52	85	68	70	49	70	1
183285	9	18	CB	81	85	70	33	67	56	79	81	1
183907	21	21	CB	81	86	75	50	72	67	79	82	1
184144	234	52	LM	81	85	83	74	78	86	50	57	1
184881	461	97	RM	81	87	84	72	77	86	50	58	1
185221	175	54	CDM	81	83	75	58	76	72	83	77	1
186581	315	163	RM	81	84	82	81	78	81	67	72	1
187961	18	54	CM	81	85	77	73	76	78	78	81	1
188829	219	103	CB	81	85	77	44	72	68	82	76	1
189509	21	45	CM	81	85	72	70	77	85	58	65	0
190531	236	18	CB	81	86	77	45	63	63	82	87	1
190782	18	54	CDM	81	84	73	66	76	75	81	69	1
190813	47	27	LW	81	88	87	80	73	85	50	57	1
192620	21	21	CB	81	84	62	55	74	53	82	76	1
192883	22	3	CAM	81	85	80	78	75	83	62	65	1
193082	110374	56	RM	81	83	93	66	76	87	62	58	1
193747	240	45	RM	81	85	75	72	83	81	60	62	1
196144	236	56	ST	81	85	82	75	67	78	59	86	1
197445	21	4	LB	81	88	86	70	82	82	77	69	1
201535	243	18	CB	81	88	70	47	64	61	81	82	1
241	11	50	CM	80	80	64	76	84	82	52	62	1
1219	47	27	GK	80	76	84	75	73	84	50	79	1
4098	240	38	CM	80	80	63	69	78	73	73	76	0
5809	109	18	ST	80	80	69	79	71	82	45	78	1
8473	1	12	CAM	80	81	74	73	81	84	47	51	1
24248	110374	55	CDM	80	76	64	69	87	82	67	51	1
46815	144	36	CB	80	77	48	44	65	52	83	73	1
49072	1048	60	ST	80	80	66	84	77	82	43	70	1
49370	73	27	CDM	80	83	50	72	79	74	77	82	0
50327	7	140	LM	80	80	73	73	79	85	61	58	0
51101	55	27	CB	80	75	55	58	59	56	82	80	1
52797	46	27	CDM	80	78	57	72	83	77	74	62	0
53050	18	144	ST	80	80	73	76	65	78	47	82	1
53612	1	21	CB	80	82	34	41	57	39	84	75	1
53914	7	14	CB	80	80	67	47	68	56	81	82	1
103935	110374	27	CM	80	79	55	77	84	81	67	61	1
115533	175	47	GK	80	80	84	75	72	83	42	76	0
115909	449	45	ST	80	79	83	75	58	81	46	66	0
119152	9	108	CB	80	79	72	63	61	56	79	81	1
124607	325	48	CM	80	82	72	78	84	81	71	58	1
135475	325	54	CDM	80	83	75	75	75	76	80	80	1
136194	598	54	ST	80	78	68	77	59	75	45	78	0
137361	47	27	ST	80	78	73	75	61	70	46	84	0
137832	567	54	GK	80	78	80	80	73	82	29	80	0
138703	1048	52	CAM	80	80	71	75	82	86	50	50	1
139997	101059	10	RB	80	80	78	75	84	74	79	64	1
142750	236	52	CM	80	80	66	78	84	76	71	74	1
142780	110374	52	CB	80	79	67	50	66	51	81	78	1
142938	39	52	ST	80	79	67	78	57	72	47	86	1
146296	479	45	GK	80	80	86	73	69	86	55	75	1
146954	240	45	CM	80	81	68	74	80	76	72	58	0
147004	449	45	CAM	80	78	68	72	82	80	55	56	0
147782	312	40	CDM	80	80	76	67	77	76	78	64	0
148711	234	54	CB	80	80	39	57	63	59	80	80	0
150516	1	21	LM	80	77	81	87	69	79	46	67	1
152747	18	14	RM	80	80	92	63	71	84	43	44	1
157481	48	45	CB	80	82	52	47	62	58	80	80	0
158810	48	47	CDM	80	79	68	76	82	74	76	72	1
163418	18	18	CB	80	79	78	46	61	56	80	83	1
163419	1	18	RB	80	80	75	57	74	76	80	79	1
163489	39	27	GK	80	83	82	76	68	86	45	78	1
163711	100765	18	CDM	80	83	79	52	74	76	80	66	0
164468	5	14	CB	80	80	73	56	54	61	80	83	1
166072	55	54	CB	80	75	52	44	62	56	82	79	1
167431	32	21	CM	80	82	77	67	80	79	76	69	0
169195	1041	54	CAM	80	80	69	75	80	82	46	64	0
170664	240	60	LM	80	81	80	75	80	80	64	71	0
171830	110364	52	CB	80	74	55	41	47	43	83	81	1
171833	9	14	ST	80	86	90	77	65	83	43	70	1
171919	175	54	CB	80	80	74	62	61	54	81	78	1
172175	7	7	RM	80	83	88	75	79	85	53	66	0
172879	22	22	CB	80	84	77	53	69	64	81	82	1
173208	100769	27	LB	80	81	82	63	77	75	79	69	0
173426	9	7	GK	80	83	81	81	72	83	55	80	1
175943	48	7	CAM	80	82	83	76	75	83	42	40	1
176571	219	117	LM	80	82	82	72	78	82	66	84	1
177105	462	21	RM	80	82	80	76	83	80	59	66	0
177388	219	18	LM	80	82	81	79	77	83	54	62	0
177413	100769	7	CM	80	85	71	72	78	84	77	77	1
178372	5	51	RB	80	81	61	59	64	58	85	83	1
178509	1	18	ST	80	80	65	80	66	69	53	83	1
178518	1842	7	CM	80	82	83	72	81	81	76	65	1
178535	17	27	ST	80	79	72	77	62	79	47	83	0
180175	1041	54	ST	80	84	88	76	65	83	44	75	1
180695	234	54	ST	80	78	82	82	71	78	53	74	1
182495	45	60	CB	80	86	81	58	68	68	81	78	1
183855	45	27	CB	80	84	77	43	69	59	82	79	1
184312	50	18	RW	80	84	96	66	72	83	50	62	1
184943	5	54	CDM	80	82	88	68	79	81	76	72	1
186832	45	117	LM	80	85	83	76	78	82	74	73	1
188105	1035	54	CB	80	82	67	60	59	65	80	78	0
188428	315	108	ST	80	84	91	76	64	85	49	73	1
188567	22	115	RM	80	83	95	76	73	78	55	76	1
188791	100767	52	CM	80	83	64	80	84	79	70	58	1
189242	9	54	CAM	80	86	83	69	78	88	41	50	1
189690	461	45	GK	80	84	80	81	72	85	51	79	0
189963	1960	108	ST	80	84	73	78	55	74	55	86	1
190584	243	45	CM	80	85	67	63	82	79	71	59	0
191202	234	51	CDM	80	85	67	68	77	76	80	77	1
192366	236	52	CB	80	83	55	50	58	62	81	81	1
192448	23	21	GK	80	88	80	83	78	83	38	76	0
192563	32	21	GK	80	85	82	78	84	84	46	77	0
192985	5	7	CAM	80	86	79	79	80	82	54	55	0
193130	5	21	LM	80	85	88	82	75	84	50	68	1
193348	21	47	RM	80	86	87	76	74	86	66	50	1
194765	457	18	LW	80	88	81	72	77	84	42	54	0
199110	55	56	ST	80	82	89	78	65	86	43	63	1
199434	1908	51	LW	80	83	74	72	83	82	48	60	0
201508	17	60	CAM	80	82	79	75	76	85	51	62	0
202166	34	21	LM	80	86	78	78	79	85	45	54	0
204525	457	45	CB	80	86	77	55	59	58	80	79	0
205525	101059	54	CAM	80	86	91	71	76	86	43	50	1
330	697	25	ST	79	79	71	79	68	81	47	63	1
684	5	195	GK	79	77	75	81	69	79	50	81	0
1099	111139	27	ST	79	73	80	76	67	77	50	72	1
2147	144	34	GK	79	77	84	74	82	79	35	77	1
5485	22	21	CDM	79	78	56	61	74	65	81	79	1
6826	7	14	CDM	79	80	45	70	82	69	80	74	0
7784	110089	18	ST	79	78	84	75	62	72	48	78	0
8517	144	14	CDM	79	76	57	71	77	75	80	74	0
11983	18	95	GK	79	78	76	81	78	79	45	82	0
20556	1896	54	RW	79	76	77	70	79	81	61	62	0
28765	1629	54	CAM	79	78	73	70	82	82	66	58	0
39943	247	167	CM	79	79	79	68	75	80	48	60	0
49031	1843	27	GK	79	75	81	79	70	81	59	79	0
53578	47	34	CDM	79	84	66	56	73	70	81	76	1
106231	448	45	ST	79	79	67	76	56	69	53	88	1
120238	110556	27	CDM	79	74	55	74	86	76	69	60	1
120312	18	14	CB	79	79	52	30	53	39	80	83	0
121122	32	21	CDM	79	78	58	65	79	66	79	76	0
135466	234	54	GK	79	76	78	80	70	78	45	84	1
137506	48	19	CF	79	79	75	81	73	82	51	71	1
137782	9	14	RB	79	78	85	63	74	76	76	74	1
138782	11	42	CM	79	75	58	66	82	68	81	78	1
139062	573	52	GK	79	79	79	69	68	86	52	84	1
140384	1035	54	ST	79	82	74	75	64	75	46	82	0
142773	1053	52	CM	79	79	81	72	74	84	51	58	0
146760	240	45	RB	79	79	83	59	73	79	81	62	1
149184	48	27	RB	79	77	83	74	81	75	77	82	1
153296	66	18	CAM	79	83	69	74	81	81	60	73	1
154950	312	40	LM	79	79	79	70	78	78	70	59	0
155885	100767	25	RM	79	79	89	71	75	86	55	60	1
156142	110227	17	CAM	79	81	76	71	79	80	67	57	0
158138	38	21	CAM	79	80	78	76	76	79	55	67	0
158372	241	34	LM	79	83	84	75	78	83	50	56	0
160310	573	45	RB	79	79	74	53	70	65	80	72	0
161648	13	18	RM	79	80	83	76	76	86	46	70	1
161754	10	45	CDM	79	80	63	67	75	67	82	87	1
161999	46	18	RB	79	78	86	62	79	79	77	72	0
162123	144	61	CB	79	75	52	47	55	49	80	78	1
162369	36	8	ST	79	80	66	76	61	73	47	78	0
163824	1960	50	CB	79	79	67	40	63	60	80	82	0
164477	5	133	CDM	79	80	68	56	72	69	80	77	0
164505	2	95	GK	79	78	80	80	69	82	50	77	0
164876	1960	45	ST	79	80	67	75	67	69	66	80	1
165526	50	52	CB	79	83	58	44	53	44	81	81	1
167614	100769	40	CM	79	79	72	76	81	74	72	67	0
167812	325	48	CB	79	84	67	33	62	63	80	81	0
169181	245	34	GK	79	78	82	76	67	85	60	75	0
169588	11	35	CB	79	82	71	32	66	48	79	80	0
169721	10	14	RB	79	82	81	51	69	72	81	88	1
170369	483	83	ST	79	83	85	74	76	87	40	52	1
170597	13	34	GK	79	84	81	79	72	84	50	75	0
170733	52	108	LW	79	83	88	67	72	82	49	54	0
170770	9	45	LB	79	80	79	53	76	75	80	74	1
170783	13	108	CDM	79	80	74	62	71	74	81	72	1
171018	240	45	CM	79	83	54	63	76	70	80	66	0
171318	237	45	LW	79	81	88	64	73	85	49	54	0
171688	243	38	LB	79	86	81	65	73	79	76	71	1
173198	1842	27	CB	79	82	68	36	62	48	82	76	1
174379	457	60	LW	79	79	82	72	70	83	48	58	0
175379	1860	45	RM	79	81	76	73	84	79	49	46	1
176546	48	56	LB	79	76	88	66	77	82	73	62	0
176993	245	45	RW	79	82	84	74	74	85	37	50	1
177765	13	136	ST	79	76	77	79	67	75	46	78	1
177983	47	56	CB	79	84	73	38	60	51	81	80	1
178213	18	18	CDM	79	83	68	59	75	75	79	72	0
179527	13	18	ST	79	81	91	73	71	74	48	81	1
182168	44	27	CB	79	82	59	39	53	49	82	77	1
182879	312	23	RM	79	81	82	81	78	78	42	52	1
183966	110374	52	RB	79	75	69	54	66	59	79	78	0
184111	2	7	ST	79	87	81	75	60	75	48	81	1
184120	483	45	CDM	79	80	63	60	75	69	79	64	0
184134	236	54	CDM	79	83	69	59	69	71	83	73	1
184344	45	27	CB	79	84	72	50	68	64	77	84	0
184431	45	27	CF	79	84	91	76	76	86	36	45	1
186153	1	37	GK	79	83	84	79	69	83	50	74	1
186569	36	21	GK	79	82	82	77	74	83	44	76	0
186789	1035	54	GK	79	80	82	77	63	85	46	76	0
187052	110227	18	CDM	79	86	77	63	73	74	80	66	1
187084	485	136	ST	79	81	88	70	56	75	47	84	0
187735	315	40	CAM	79	84	78	75	77	80	51	64	0
188270	217	115	CB	79	79	66	29	63	43	79	78	0
188377	18	14	RB	79	82	92	65	70	76	78	78	1
188427	46	8	LM	79	83	84	72	79	79	75	72	1
188943	1824	21	GK	79	84	80	78	77	82	45	78	0
189125	39	27	LM	79	85	82	74	78	81	69	64	0
189679	280	43	ST	79	79	87	71	70	84	45	57	0
189712	52	34	CM	79	86	67	71	80	76	73	68	0
189795	1896	38	ST	79	82	84	72	68	80	58	79	0
190544	52	51	LW	79	83	81	78	73	84	48	56	1
190972	234	52	RM	79	84	88	74	74	84	54	65	0
191043	236	54	LB	79	84	82	64	75	80	79	68	0
191180	73	52	LM	79	85	66	76	80	82	58	61	1
191687	236	54	CB	79	82	62	51	62	58	80	83	1
191740	448	45	CM	79	84	76	61	78	84	63	49	1
195864	45	18	CM	79	90	75	76	80	80	76	81	1
198076	1809	145	CB	79	85	68	50	69	60	81	77	1
198213	1048	54	ST	79	82	73	76	57	75	50	84	0
200315	241	45	RW	79	83	89	71	72	83	40	55	0
206407	461	38	RB	79	79	86	56	77	76	76	67	0
1178	48	27	CB	78	74	55	51	67	59	78	82	0
1611	23	4	CB	78	79	58	44	64	53	80	74	0
1625	689	18	CF	78	79	75	78	69	83	44	63	1
6747	44	39	CB	78	78	61	56	70	64	79	75	1
7743	697	95	LM	78	79	85	74	75	77	55	62	1
16897	21	7	CB	78	78	29	54	53	35	80	77	1
20209	461	38	CB	78	78	64	36	47	50	77	87	1
23174	1877	52	CAM	78	79	53	76	83	80	42	58	0
24438	39	56	CB	78	74	34	36	50	38	81	79	1
46590	312	107	CB	78	78	54	48	46	42	81	78	1
49012	312	21	ST	78	77	74	73	65	67	51	81	0
49425	7	34	CB	78	76	65	59	73	53	78	76	0
50598	144	14	ST	78	74	80	78	51	66	41	74	1
52126	65	18	CM	78	76	66	69	80	75	76	58	0
54013	19	14	RM	78	77	77	74	76	80	51	61	0
103496	1842	27	CAM	78	75	77	62	82	80	48	48	0
103936	45	27	RM	78	76	84	75	76	80	64	62	1
106213	448	45	RB	78	78	79	61	74	74	78	65	0
108080	45	47	RM	78	79	83	65	78	74	79	71	1
112316	461	18	CB	78	79	76	68	75	70	83	69	1
112712	569	54	CM	78	78	56	77	83	76	57	55	0
122849	7	108	ST	78	77	86	73	58	78	48	76	0
134956	46	1	CB	78	77	63	56	66	54	78	80	1
135043	11	13	GK	78	77	83	76	74	79	47	74	1
135339	568	54	GK	78	81	74	75	70	83	56	82	0
135455	52	54	RB	78	80	79	73	79	74	79	77	1
137080	485	23	CM	78	78	78	76	78	82	51	61	0
137854	45	27	GK	78	75	80	76	68	80	46	78	0
138123	44	52	CDM	78	78	62	71	77	72	78	75	1
138708	598	54	CAM	78	77	79	74	80	81	44	55	1
140233	614	83	GK	78	80	84	68	76	85	47	74	1
141645	69	18	CB	78	75	64	35	70	57	79	72	1
144622	23	54	CF	78	80	77	73	73	82	54	67	0
146460	461	45	CDM	78	78	66	62	74	64	78	57	0
147455	236	40	ST	78	78	76	74	76	84	53	56	0
147621	100765	40	RM	78	79	82	70	77	78	57	60	0
147777	100769	40	LW	78	76	75	77	75	84	42	54	0
147794	100769	40	GK	78	77	79	75	74	82	56	76	0
148138	175	10	ST	78	79	80	75	66	76	53	74	1
148684	1917	178	GK	78	76	83	73	70	83	41	75	0
150525	1041	59	ST	78	76	68	71	68	79	47	82	0
152850	1048	54	CAM	78	76	63	77	79	78	54	59	1
156776	23	61	LM	78	77	63	81	81	80	43	56	1
157392	15	103	LB	78	75	78	60	77	76	78	66	0
158121	74	18	GK	78	79	78	78	75	81	46	79	0
158232	65	108	ST	78	78	83	74	70	84	43	74	0
158626	13	18	RB	78	80	78	65	76	74	76	74	0
159147	1819	18	CB	78	80	65	62	74	65	78	75	0
161805	48	47	CDM	78	79	75	67	78	76	78	72	0
162932	110364	52	RW	78	74	69	73	79	85	41	54	0
163155	109	14	GK	78	78	79	77	74	82	50	77	0
163600	1792	14	GK	78	81	79	76	74	81	43	75	0
163699	109	99	CAM	78	77	84	70	73	81	59	70	1
163804	74	18	CAM	78	74	66	74	80	81	55	65	0
164300	46	54	CB	78	75	55	51	56	51	81	78	1
164376	246	27	ST	78	77	57	73	56	67	48	87	1
164985	192	18	ST	78	76	74	78	71	80	45	80	0
165109	46	39	LB	78	81	78	51	69	66	82	76	1
167237	31	21	ST	78	77	77	79	62	73	45	72	0
167514	55	51	RM	78	74	79	69	78	78	77	68	0
