week	formation	idx	starter	slot	name	rating
6	f3412	12	0	CB	Miguel Vitor	73
6	f3412	13	0	CAM	David Destorme	71
6	f3412	14	0	RM	Kevin Kampl	74
6	f3412	15	0	CAM	Mateusz Klich	72
6	f3412	16	0	ST	Ivan Santini	71
6	f3412	17	0	ST	Mostafa Abdellaoue	73
7	f343	0	1	GK	Tim Howard	82
7	f343	1	1	RCB	Darijo Srna	81
7	f343	2	1	CB	Medhi Benatia	83
7	f343	3	1	LCB	Jose Angel	74
7	f343	4	1	RM	Zoran Tosic	78
7	f343	5	1	RCM	Nuri Sahin	83
7	f343	6	1	LCM	Alex Lopez	74
7	f343	7	1	LM	Marco Parolo	74
7	f343	8	1	RW	Giovani dos Santos	80
7	f343	9	1	ST	Luis Suarez	87
7	f343	10	1	LW	Juan Cuadrado	82
7	f343	11	0	GK	Ricardo	74
7	f343	12	0	CB	Sebastien Squillaci	74
7	f343	13	0	RM	Nabil El Zhar	74
7	f343	14	0	LW	Sadio Mane	72
7	f343	15	0	ST	Camilo	70
7	f343	16	0	RW	Jay Emmanuel-Thomas	71
7	f343	17	0	ST	Mahir Saglik	70
8	f343	0	1	GK	Vincent Enyeama	78
8	f343	1	1	RCB	Mathieu Debuchy	80
8	f343	2	1	CB	Steven Caulker	77
8	f343	3	1	LCB	Lucas Digne	77
8	f343	4	1	RM	Domenico Berardi	73
8	f343	5	1	RCM	Ivelin Popov	79
8	f343	6	1	LCM	Ruben Pardo	74
8	f343	7	1	LM	Cristiano Ronaldo	93
8	f343	8	1	RW	Robert Lewandowski	88
8	f343	9	1	ST	Sergio Aguero	90
8	f343	10	1	LW	Karim Benzema	86
8	f343	11	0	GK	Roberto	74
8	f343	12	0	CB	Rafal Grodzicki	64
8	f343	13	0	RM	Andre Hahn	71
8	f343	14	0	CM	Steven Schumacher	64
8	f343	15	0	ST	Humberto Suazo	78
8	f343	16	0	ST	Niclas Fullkrug	71
8	f343	17	0	ST	Marius Helle	64
9	f352	0	1	GK	Tim Krul	80
9	f352	1	1	RCB	Wes Brown	78
9	f352	2	1	CB	Simon Kjaer	77
9	f352	3	1	LCB	Virgil van Dijk	73
9	f352	4	1	RDM	Cesc Fabregas	87
9	f352	5	1	LDM	Daniele Conti	78
9	f352	6	1	RM	Adam Lallana	80
9	f352	7	1	LM	Paul Pogba	80
9	f352	8	1	CAM	Kevin-Prince Boateng	82
9	f352	9	1	RS	Yura Movsisyan	78
9	f352	10	1	LS	Heung-Min Son	78
9	f352	11	0	GK	Jamie MacDonald	70
9	f352	12	0	CB	Kees Kwakman	71
9	f352	13	0	RM	Kasper Kusk	69
9	f352	14	0	ST	Timo Werner	64
9	f352	15	0	ST	Youssef El Arabi	74
9	f352	16	0	CF	Ross McCormack	74
9	f352	17	0	ST	Mauro Boselli	73
10	f433	0	1	GK	Andriy Pyatov	78
10	f433	1	1	RB	Vassilis Torosidis	78
10	f433	2	1	RCB	Maximiliano Pereira	79
10	f433	3	1	LCB	Mamadou Sakho	82
10	f433	4	1	LB	Darijo Srna	82
10	f433	5	1	RCM	Joao Moutinho	84
10	f433	6	1	CM	Jean II Makoun	74
10	f433	7	1	LCM	Clarence Seedorf	83
10	f433	8	1	RW	Dimitris Salpingidis	77
10	f433	9	1	ST	Oribe Peralta	78
10	f433	10	1	LW	Cristiano Ronaldo	94
10	f433	11	0	GK	Copa	74
10	f433	12	0	LB	Ari Skulason	64
10	f433	13	0	CB	Andy Frampton	64
10	f433	14	0	CDM	Ogenyi Onazi	74
10	f433	15	0	ST	Adam Taggart	64
10	f433	16	0	RW	Clayton Donaldson	69
10	f433	17	0	ST	Nahki Wells	68
11	f343	0	1	GK	Oliver Baumann	80
11	f343	1	1	RCB	Thomas Heurtaux	73
11	f343	2	1	CB	Mario Fernandes	77
11	f343	3	1	LCB	Pape Ndiaye Souare	74
11	f343	4	1	RM	Jesus Navas	86
11	f343	5	1	RCM	Raul Garcia	80
11	f343	6	1	LCM	Diego Tardelli	78
11	f343	7	1	LM	Philipp Lahm	89
11	f343	8	1	RW	Sergio Garcia	78
11	f343	9	1	ST	Dejan Damjanovic	80
11	f343	10	1	LW	Carlos Vela	83
11	f343	11	0	GK	Nathan Coe	64
11	f343	12	0	LB	Jordan Lukaku	64
11	f343	13	0	CAM	Halil Altintop	74
11	f343	14	0	CAM	Ryan Gauld	64
11	f343	15	0	CAM	Antoni Sarcevic	64
11	f343	16	0	ST	Philipp Hosiner	73
11	f343	17	0	ST	Ryan Lowe	64
12	f352	0	1	GK	Ricardo	77
12	f352	1	1	RCB	Loic Perrin	80
12	f352	2	1	CB	John Terry	84
12	f352	3	1	LCB	Sejad Salihovic	79
12	f352	4	1	RDM	Borja Valero	83
12	f352	5	1	LDM	Aaron Ramsey	80
12	f352	6	1	RM	Gareth Bale	88
12	f352	7	1	LM	Samir Nasri	85
12	f352	8	1	CAM	Arjen Robben	89
12	f352	9	1	RS	Jonas	82
12	f352	10	1	LS	Jurado	78
12	f352	11	0	GK	Cristopher Toselli	74
12	f352	12	0	LB	Bryan Oviedo	71
12	f352	13	0	CB	Kim Won Il	64
12	f352	14	0	RM	Kevin Kampl	77
12	f352	15	0	CDM	Ander Iturraspe	79
12	f352	16	0	ST	Wissam Ben Yedder	77
12	f352	17	0	ST	Kim Dong Ki	64
13	f3421	0	1	GK	Vincent Enyeama	80
13	f3421	1	1	RCB	Maicon	80
13	f3421	2	1	CB	Mike Williamson	74
13	f3421	3	1	LCB	Omer Toprak	80
13	f3421	4	1	RM	Yann Jouffre	77
13	f3421	5	1	RCM	Stephen Ireland	78
13	f3421	6	1	LCM	Walter Montillo	80
13	f3421	7	1	LM	Franck Ribery	91
13	f3421	8	1	RF	Luis Suarez	88
13	f3421	9	1	LF	Mario Balotelli	85
13	f3421	10	1	ST	Zlatan Ibrahimovic	91
13	f3421	11	0	GK	Philipp Tschauner	72
13	f3421	12	0	LB	Patrick van Aanholt	73
13	f3421	13	0	CB	Aurelien Collin	73
13	f3421	14	0	CM	Davy Klaassen	71
13	f3421	15	0	CAM	Michal Maslowski	64
13	f3421	16	0	LW	Sidnei	64
13	f3421	17	0	ST	Fredy Montero	74
14	f3421	0	1	GK	Diego Benaglio	81
14	f3421	1	1	RCB	Marc Bertran	74
14	f3421	2	1	CB	Ezequiel Munoz	74
14	f3421	3	1	LCB	Sebastian Jung	78
14	f3421	4	1	RM	James Rodriguez	85
14	f3421	5	1	RCM	Ruben Pardo	77
14	f3421	6	1	LCM	Fernandinho	82
14	f3421	7	1	LM	Adam Maher	80
14	f3421	8	1	RF	Salomon Kalou	81
14	f3421	9	1	LF	Patrick Helmes	80
14	f3421	10	1	ST	Carlos Tevez	87
14	f3421	11	0	GK	Sammy Bossut	73
14	f3421	12	0	LB	Jon Flanagan	64
14	f3421	13	0	CAM	Faycal Fajr	71
14	f3421	14	0	RM	Michal Kucharczyk	69
14	f3421	15	0	CAM	Soren Rieks	71
14	f3421	16	0	ST	Arruabarrena	64
14	f3421	17	0	ST	Javi Guerra	74
15	f433	0	1	GK	Nicolas Penneteau	74
15	f433	1	1	RB	Sebastian Prodl	74
15	f433	2	1	RCB	Diego Godin	84
15	f433	3	1	LCB	Mehdi Benatia	84
15	f433	4	1	LB	Eliaquim Mangala	82
15	f433	5	1	RCM	Angel Di Maria	87
15	f433	6	1	CM	Yohan Cabaye	83
15	f433	7	1	LCM	Eric Bautheac	77
15	f433	8	1	RW	Shinji Okazaki	74
15	f433	9	1	ST	Emmanuel Adebayor	81
15	f433	10	1	LW	Pedro	87
15	f433	11	0	GK	Esteban	74
15	f433	12	0	CB	Liam Moore	64
15	f433	13	0	CAM	Ross Barkley	73
15	f433	14	0	RM	Sami Allagui	73
15	f433	15	0	ST	Luca Toni	74
15	f433	16	0	ST	Michael de Leeuw	73
15	f433	17	0	ST	Andrea Caracciolo	71
16	f41212	0	1	GK	Joe Hart	84
16	f41212	1	1	RB	Seamus Coleman	73
16	f41212	2	1	RCB	Per Mertesacker	81
16	f41212	3	1	LCB	Maynor Figueroa	79
16	f41212	4	1	LB	Thiago Neves	80
16	f41212	5	1	CDM	Felipe Melo	81
16	f41212	6	1	RM	Theo Walcott	82
16	f41212	7	1	LM	Eden Hazard	87
16	f41212	8	1	CAM	Robert Koren	74
16	f41212	9	1	RS	Roberto Soldado	85
16	f41212	10	1	LS	Imoh Ezekiel	73
16	f41212	11	0	GK	Colin Coosemans	71
16	f41212	12	0	CB	Magnus Troest	61
16	f41212	13	0	RB	Inigo Calderon	69
16	f41212	14	0	LM	Lee Novak	69
16	f41212	15	0	LM	Matt Ritchie	71
16	f41212	16	0	ST	Stevie May	64
16	f41212	17	0	ST	Tony Watt	70
17	f343	0	1	GK	Cirilo Saucedo	74
17	f343	1	1	RCB	Carvajal	79
17	f343	2	1	CB	Gonzalo Rodriguez	81
17	f343	3	1	LCB	Leonardo Bonucci	80
17	f343	4	1	RM	Sofiane Feghouli	82
17	f343	5	1	RCM	Ivan Rakitic	83
17	f343	6	1	LCM	Kaka	83
17	f343	7	1	LM	Dries Mertens	81
17	f343	8	1	RW	Alexis Sanchez	84
17	f343	9	1	ST	Ikechukwu Uche	73
17	f343	10	1	LW	Antoine Griezmann	81
17	f343	11	0	GK	Matt Duke	64
17	f343	12	0	RWB	Paul Aguilar	73
17	f343	13	0	CB	Leon Legge	64
17	f343	14	0	CM	Liam Miller	69
17	f343	15	0	CAM	Soriano	73
17	f343	16	0	CAM	Alejandro Dominguez	77
17	f343	17	0	ST	Wes Fletcher	64
18	f352	0	1	GK	Adrian	78
18	f352	1	1	RCB	Maicon	81
18	f352	2	1	CB	Ezequiel Garay	84
18	f352	3	1	LCB	Damia	77
18	f352	4	1	RDM	Gareth Barry	80
18	f352	5	1	LDM	Grzegorz Krychowiak	78
18	f352	6	1	RM	Stephan Lichtsteiner	80
18	f352	7	1	LM	Blaise Matuidi	83
18	f352	8	1	CAM	Adam Johnson	79
18	f352	9	1	RS	Raul Rusescu	74
18	f352	10	1	LS	Giovani dos Santos	81
18	f352	11	0	GK	Remy Riou	73
18	f352	12	0	CB	Jeison Murillo	74
18	f352	13	0	CM	Kieran Lee	64
18	f352	14	0	RM	Rafinha	74
18	f352	15	0	CM	Peter Murphy	64
18	f352	16	0	RW	Domenico Berardi	74
18	f352	17	0	RW	Florin Berenguer	69
19	f343	0	1	GK	Keylor Navas	73
19	f343	1	1	RCB	Daryl Janmaat	74
19	f343	2	1	CB	Ricardo Carvalho	79
19	f343	3	1	LCB	Henri Bedimo	77
19	f343	4	1	RM	Arturo Vidal	86
19	f343	5	1	RCM	Marco Verratti	79
19	f343	6	1	LCM	Yohan Cabaye	84
19	f343	7	1	LM	Santi Cazorla	86
19	f343	8	1	RW	Alessandro Matri	78
19	f343	9	1	ST	Samuel Eto'o	85
19	f343	10	1	LW	Emmanuel Adebayor	82
19	f343	11	0	GK	Bartosz Bialkowski	64
19	f343	12	0	RB	James Tavernier	64
19	f343	13	0	CM	Filip Kiss	64
19	f343	14	0	CAM	Javito	69
19	f343	15	0	ST	Adam Le Fondre	74
19	f343	16	0	ST	Dalibor Veselinovic	64
19	f343	17	0	ST	Imad Khalili	64
20	f343	0	1	GK	Benoit Costil	80
20	f343	1	1	RCB	Marco Russ	74
20	f343	2	1	CB	Pique	87
20	f343	3	1	LCB	Filipe Luis	83
20	f343	4	1	RM	Alberto Aquilani	81
20	f343	5	1	RCM	Alessandro Del Piero	77
20	f343	6	1	LCM	Jeremy Toulalan	83
20	f343	7	1	LM	Arda Turan	85
20	f343	8	1	RW	Aduriz	80
20	f343	9	1	ST	Alexandre Lacazette	77
20	f343	10	1	LW	Antoine Griezmann	82
20	f343	11	0	GK	Jeroen Zoet	77
20	f343	12	0	RB	Gonzalo Fierro	73
20	f343	13	0	LM	Leonardo Bittencourt	72
20	f343	14	0	RM	Febian Brandy	64
20	f343	15	0	RM	Billy Ketkeophomphone	64
20	f343	16	0	CAM	Rachid Bourabia	70
20	f343	17	0	ST	Dayro Moreno	77
21	f352	0	1	GK	David Marshall	74
21	f352	1	1	RCB	Mathieu Bodmer	77
21	f352	2	1	CB	Alex	82
21	f352	3	1	LCB	Giorgio Chiellini	87
21	f352	4	1	RDM	Thiago	82
21	f352	5	1	LDM	Alex Oxlade-Chamberlain	79
21	f352	6	1	RM	Sofiane Feghouli	83
21	f352	7	1	LM	Charlie Adam	77
21	f352	8	1	CAM	Wesley Sneijder	86
21	f352	9	1	RS	German Denis	81
21	f352	10	1	LS	Remy Cabella	80
21	f352	11	0	GK	Romain Salin	72
21	f352	12	0	CB	Grant Hanley	71
21	f352	13	0	CAM	Duda	74
21	f352	14	0	CAM	Kevin Nolan	77
21	f352	15	0	ST	Ross McCormack	77
21	f352	16	0	ST	Esteban Paredes	74
21	f352	17	0	ST	Michy Batshuayi	73
22	f3412	0	1	GK	Danijel Subasic	73
22	f3412	1	1	RCB	Walter Samuel	83
22	f3412	2	1	CB	Sebastien Bassong	77
22	f3412	3	1	LCB	Martin Skrtel	82
22	f3412	4	1	RM	Dimitri Payet	81
22	f3412	5	1	RCM	Luka Modric	86
22	f3412	6	1	LCM	Eden Hazard	88
22	f3412	7	1	LM	Raheem Sterling	78
22	f3412	8	1	CAM	Henrikh Mkhitaryan	82
22	f3412	9	1	RS	Adrian Ramos	78
22	f3412	10	1	LS	Gonzalo Higuain	85
22	f3412	11	0	GK	Jake Cole	64
22	f3412	12	0	LB	Jelle Van Damme	74
22	f3412	13	0	CDM	Verza	73
22	f3412	14	0	CM	Ji Sung Park	80
22	f3412	15	0	ST	Scott Hogan	64
22	f3412	16	0	ST	Jonatan Soriano	73
22	f3412	17	0	ST	Borja Viguera	64
23	f4312	0	1	GK	Diego Alves	83
23	f4312	1	1	RB	Juanfran	80
23	f4312	2	1	RCB	Diego Colotto	77
23	f4312	3	1	LCB	Emerson	74
23	f4312	4	1	LB	Nicolas Nkoulou	82
23	f4312	5	1	RCM	Pierre-Emerick Aubameyang	82
23	f4312	6	1	CM	Roberto Firmino	80
23	f4312	7	1	LCM	Cesc Fabregas	88
23	f4312	8	1	CAM	Lionel Messi	95
23	f4312	9	1	RS	Mattia Destro	78
23	f4312	10	1	LS	Ola Toivonen	79
23	f4312	11	0	GK	Ralf Fahrmann	74
23	f4312	12	0	CB	John McCombe	64
23	f4312	13	0	LM	Caio	72
23	f4312	14	0	CAM	Michael Jacobs	72
23	f4312	15	0	ST	Anthony Stokes	73
23	f4312	16	0	ST	David Williams	64
23	f4312	17	0	ST	Domi Kumbela	74
24	f3412	0	1	GK	Raphael Schafer	78
24	f3412	1	1	RCB	Semih Kaya	80
24	f3412	2	1	CB	John Terry	85
24	f3412	3	1	LCB	Adil Rami	83
24	f3412	4	1	RM	Thomas Muller	86
24	f3412	5	1	RCM	Daniel Sturridge	83
24	f3412	6	1	LCM	Jordan Henderson	79
24	f3412	7	1	LM	Cejudo	74
24	f3412	8	1	CAM	Daniel Luduena	74
24	f3412	9	1	RS	Olivier Giroud	81
24	f3412	10	1	LS	Zlatan Ibrahimovic	92
24	f3412	11	0	GK	Anthony Lopes	73
24	f3412	12	0	CB	Gavin Gunning	64
24	f3412	13	0	CM	David Syers	64
24	f3412	14	0	CAM	Gonzalo Castellani	72
24	f3412	15	0	ST	Alan	74
24	f3412	16	0	ST	Cheick Diarra	71
24	f3412	17	0	ST	Marcin Robak	64
25	f343	0	1	GK	Geoffrey Jourdren	78
25	f343	1	1	RCB	Lorik Cana	80
25	f343	2	1	CB	Thiago Silva	88
25	f343	3	1	LCB	Mats Hummels	86
25	f343	4	1	RM	Arjen Robben	90
25	f343	5	1	RCM	Moussa Sissoko	77
25	f343	6	1	LCM	Andre Schurrle	81
25	f343	7	1	LM	Nico Gaitan	82
25	f343	8	1	RW	Aduriz	81
25	f343	9	1	ST	Christian Benteke	82
25	f343	10	1	LW	Carlos Tevez	88
25	f343	11	0	GK	Marek Stech	71
25	f343	12	0	CB	Vilmos Vanczak	73
25	f343	13	0	LM	Luke Freeman	64
25	f343	14	0	LM	Pione Sisto	64
25	f343	15	0	CF	James McFadden	73
25	f343	16	0	ST	Leigh Griffiths	72
25	f343	17	0	ST	Yann Kermorgant	71
26	f433	0	1	GK	Bernd Leno	82
26	f433	1	1	RB	Antonio Rukavina	77
26	f433	2	1	RCB	Andrea Ranocchia	80
26	f433	3	1	LCB	Steven Caulker	80
26	f433	4	1	LB	Marcelo	84
26	f433	5	1	RCM	Serge Aurier	77
26	f433	6	1	CM	Yuriy Zhirkov	80
26	f433	7	1	LCM	Kwadwo Asamoah	81
26	f433	8	1	RW	Klaas-Jan Huntelaar	85
26	f433	9	1	ST	Didier Drogba	84
26	f433	10	1	LW	Ezequiel Lavezzi	87
26	f433	11	0	GK	Nick Rimando	73
26	f433	12	0	RB	Mattias Johansson	71
26	f433	13	0	CM	Fran Rico	71
26	f433	14	0	CAM	Ravel Morrison	74
26	f433	15	0	ST	Mauro Zarate	77
26	f433	16	0	ST	Habib Habibou	71
26	f433	17	0	ST	Marcus Berg	73
27	f3412	0	1	GK	Gianluigi Buffon	87
27	f3412	1	1	RCB	Marko Basa	79
27	f3412	2	1	CB	Laurent Koscielny	84
27	f3412	3	1	LCB	Diego Godin	85
27	f3412	4	1	RM	Alex Teixeira	80
27	f3412	5	1	RCM	Steven Gerrard	84
27	f3412	6	1	LCM	Bastian Schweinsteiger	89
27	f3412	7	1	LM	David Silva	89
27	f3412	8	1	CAM	Dusan Tadic	81
27	f3412	9	1	RS	Lionel Messi	96
27	f3412	10	1	LS	Jermain Defoe	82
27	f3412	11	0	GK	Javier Garcia	73
27	f3412	12	0	RB	Thomas Meunier	72
27	f3412	13	0	CB	Victor Bernardez	73
27	f3412	14	0	LM	Kris Commons	74
27	f3412	15	0	LM	Shkelzen Gashi	64
27	f3412	16	0	ST	Willian Jose	73
27	f3412	17	0	ST	Jordan Rhodes	74
28	f352	0	1	GK	Benoit Costil	81
28	f352	1	1	RCB	Aymeric Laporte	73
28	f352	2	1	CB	Federico Fazio	80
28	f352	3	1	LCB	Nuno Andre Coelho	73
28	f352	4	1	RDM	Yaya Toure	87
28	f352	5	1	LDM	Christian Eriksen	83
28	f352	6	1	RM	Javi Fuego	80
28	f352	7	1	LM	Giacomo Bonaventura	80
28	f352	8	1	CAM	Oscar	85
28	f352	9	1	RS	Luis Suarez	91
28	f352	10	1	LS	Iniesta	90
28	f352	11	0	GK	Tobias Sippel	73
28	f352	12	0	RB	Simon Madden	64
28	f352	13	0	LM	Serge Gakpe	73
28	f352	14	0	CM	Craig Bryson	74
28	f352	15	0	ST	Ciro Immobile	77
28	f352	16	0	ST	Elton	73
28	f352	17	0	ST	Ari	74
29	f343	0	1	GK	Guillermo Ochoa	80
29	f343	1	1	RCB	Ricardo van Rhijn	73
29	f343	2	1	CB	Marcos Rojo	78
29	f343	3	1	LCB	Naldo	81
29	f343	4	1	RM	Gareth Bale	89
29	f343	5	1	RCM	Roman Shirokov	80
29	f343	6	1	LCM	Kaka	84
29	f343	7	1	LM	Marco Reus	87
29	f343	8	1	RW	Dayro Moreno	79
29	f343	9	1	ST	Diego Costa	86
29	f343	10	1	LW	Claudio Pizarro	82
29	f343	11	0	GK	Julian Speroni	74
29	f343	12	0	RB	James Tavernier	68
29	f343	13	0	LM	Jay Rodriguez	74
29	f343	14	0	RM	David Schloffer	64
29	f343	15	0	ST	Silvio	70
29	f343	16	0	ST	Nasser Al Shamrani	74
29	f343	17	0	ST	Cillian Morrison	64
30	f3412	0	1	GK	Sven Ulreich	81
30	f3412	1	1	RCB	Vasiliy Berezutskiy	79
30	f3412	2	1	CB	Pepe	84
30	f3412	3	1	LCB	Heiko Westermann	79
30	f3412	4	1	RM	James Rodriguez	86
30	f3412	5	1	RCM	Camacho	80
30	f3412	6	1	LCM	Andre Ayew	81
30	f3412	7	1	LM	Adel Taarabt	80
30	f3412	8	1	CAM	Juan Mata	88
30	f3412	9	1	RS	Salomon Rondon	79
30	f3412	10	1	LS	Clint Dempsey	82
30	f3412	11	0	GK	Lukas Hradecky	71
30	f3412	12	0	CB	John Stones	71
30	f3412	13	0	CDM	Dalibor Stevanovic	64
30	f3412	14	0	RM	Jason Puncheon	74
30	f3412	15	0	ST	Mattia Destro	80
30	f3412	16	0	ST	Tom Hitchcock	64
30	f3412	17	0	ST	Declan OBrien	64
31	f3412	0	1	GK	Samir Handanovic	85
31	f3412	1	1	RCB	Daryl Janmaat	77
31	f3412	2	1	CB	Juanfran	81
31	f3412	3	1	LCB	Sokratis	81
31	f3412	4	1	RM	Hulk	86
31	f3412	5	1	RCM	Alberto Aquilani	82
31	f3412	6	1	LCM	Coutinho	81
31	f3412	7	1	LM	Jordan Ayew	77
31	f3412	8	1	CAM	Carlos Darwin Quintero	74
31	f3412	9	1	RS	Gonzalo Higuain	86
31	f3412	10	1	LS	Kevin Gameiro	80
31	f3412	11	0	GK	Orestis Karnezis	74
31	f3412	12	0	CB	Martin Riley	64
31	f3412	13	0	CM	Luke Murphy	71
31	f3412	14	0	CAM	Jandro	73
31	f3412	15	0	ST	Alberto Paloschi	78
31	f3412	16	0	RW	Lucas Simon	64
31	f3412	17	0	ST	Craig Davies	72
32	f343	0	1	GK	Vito Mannone	73
32	f343	1	1	RCB	Seamus Coleman	78
32	f343	2	1	CB	Emir Spahic	79
32	f343	3	1	LCB	Lukasz Piszczek	84
32	f343	4	1	RM	Martin Harnik	79
32	f343	5	1	RCM	Ryad Boudebouz	78
32	f343	6	1	LCM	Paul Pogba	83
32	f343	7	1	LM	Lukas Podolski	81
32	f343	8	1	RW	Raheem Sterling	80
32	f343	9	1	ST	Cheick Diabate	74
32	f343	10	1	LW	Nolito	78
32	f343	11	0	GK	Raphael Wolf	71
32	f343	12	0	CB	Matt Hedges	64
32	f343	13	0	CAM	Petter Andersson	70
32	f343	14	0	LM	Paul Gallagher	70
32	f343	15	0	RW	Mario Rondon	74
32	f343	16	0	ST	Nouha Dicko	71
32	f343	17	0	ST	Marvin Sordell	73
33	f3412	0	1	GK	Kevin Trapp	80
33	f3412	1	1	RCB	Iraola	80
33	f3412	2	1	CB	Marko Basa	80
33	f3412	3	1	LCB	Rafael Toloi	74
33	f3412	4	1	RM	Alexandr Samedov	80
33	f3412	5	1	RCM	Raul Garcia	81
33	f3412	6	1	LCM	Jonjo Shelvey	74
33	f3412	7	1	LM	Juan Cuadrado	83
33	f3412	8	1	CAM	Dusan Tadic	82
33	f3412	9	1	RS	Claudio Pizarro	83
33	f3412	10	1	LS	Dimitar Berbatov	83
33	f3412	11	0	GK	Matt Gilks	73
33	f3412	12	0	RB	Callum Paterson	64
33	f3412	13	0	CAM	Halil Altintop	77
33	f3412	14	0	CM	Jeff Hendrick	72
33	f3412	15	0	ST	Bradley Wright-Phillips	71
33	f3412	16	0	LW	Muniain	80
33	f3412	17	0	ST	Esteban Paredes	77
34	f343	0	1	GK	Cedric Carrasso	82
34	f343	1	1	RCB	Souleymane Diawara	77
34	f343	2	1	CB	Michael Turner	77
