set	band	rareflag	baseId	pos	rating	pac	sho	pas	dri	def	phy
imotm	5	7	158023	CF	97	95	95	91	98	50	75
imotm	4	7	176580	ST	92	86	95	83	95	61	84
imotm	4	7	183277	LM	92	93	93	93	94	53	67
imotm	4	7	121939	RB	92	84	63	90	86	88	73
imotm	4	7	9014	ST	92	94	93	88	95	53	65
imotm	5	7	9014	ST	91	93	91	86	94	52	64
imotm	4	7	41	CM	91	77	76	95	95	68	59
imotm	4	7	164240	CB	90	83	65	78	75	92	88
imotm	4	7	121944	CM	90	65	85	92	88	82	77
imotm	4	7	190871	LW	90	95	93	86	97	47	64
imotm	5	7	190871	LW	89	94	89	84	95	46	63
imotm	4	7	178603	CB	89	69	67	83	73	94	95
imotm	4	7	198710	CAM	89	85	92	95	94	62	75
imotm	4	7	189596	ST	89	86	93	90	89	58	82
imotm	6	7	190871	CAM	88	93	85	81	94	45	61
imotm	5	7	198710	CAM	88	84	90	94	93	61	74
imotm	5	7	178603	CB	88	68	66	81	72	92	93
imotm	4	7	167495	GK	88	91	88	91	93	55	88
imotm	4	7	165153	ST	87	86	88	79	86	48	79
imotm	5	7	189596	ST	87	84	88	85	85	56	79
imotm	5	7	167495	GK	87	88	85	91	90	55	85
imotm	4	7	167664	ST	87	81	91	70	82	48	80
imotm	4	7	192318	ST	87	84	83	86	93	53	65
imotm	4	7	182521	CM	87	60	87	92	88	67	61
imotm	4	7	182493	CB	86	69	57	72	62	89	88
imotm	4	7	148803	ST	86	73	87	67	76	51	86
imotm	5	7	182521	CM	86	59	86	91	87	66	60
imotm	4	7	170481	CB	86	57	68	75	71	91	90
imotm	4	7	142754	CDM	86	70	65	82	73	89	74
imotm	4	7	184941	ST	86	91	91	82	91	58	70
imotm	5	7	184941	ST	85	90	88	80	89	57	69
imotm	4	7	180930	ST	85	74	89	72	85	53	81
imotm	4	7	179846	CM	85	61	74	78	66	87	80
imotm	5	7	142754	CDM	85	69	63	78	70	87	72
imotm	4	7	195864	CM	85	79	86	88	90	82	88
imotm	4	7	193082	RM	84	95	78	85	91	65	62
imotm	4	7	170890	CM	84	81	72	83	81	87	82
imotm	5	7	195864	CM	84	78	85	87	89	81	86
imotm	4	7	16254	GK	84	89	86	77	90	50	88
imotm	4	7	173221	RM	83	86	79	84	86	67	62
imotm	4	7	155897	ST	83	75	88	80	85	55	86
imotm	4	7	196144	ST	83	83	79	68	80	60	88
imotm	4	7	172871	LB	83	73	70	77	74	84	84
imotm	4	7	48717	GK	83	87	80	67	90	39	90
imotm	4	7	179944	CB	83	78	71	76	73	82	82
imotm	4	7	176944	CM	82	72	75	80	78	82	87
imotm	4	7	176949	CAM	82	71	78	79	87	58	71
imotm	4	7	176571	LM	82	84	79	82	86	68	89
imotm	4	7	139968	GK	82	84	84	80	92	45	86
imotm	4	7	192985	CAM	82	82	83	84	84	55	57
imotm	4	7	140233	GK	81	88	74	76	90	47	80
imotm	4	7	193348	CAM	81	88	82	77	89	67	51
imotm	4	7	170597	GK	81	87	84	72	90	50	81
imotm	4	7	158543	ST	80	79	82	70	78	50	83
imotm	4	7	193041	GK	80	92	78	70	89	61	80
imotm	4	7	197853	RB	79	82	52	75	72	82	80
imotm	4	7	193352	LB	79	81	62	83	77	83	81
imotm	4	7	202556	LW	79	90	82	70	86	47	65
imotm	4	7	181458	RM	79	81	83	79	79	55	80
imotm	5	7	193041	GK	79	90	76	70	87	61	78
imotm	4	7	168585	CB	79	61	63	63	60	85	74
imotm	4	7	109416	ST	78	83	78	74	75	50	75
imotm	4	7	187457	CM	78	74	71	82	79	75	73
imotm	4	7	198176	CB	78	67	47	70	68	82	75
imotm	4	7	190815	CB	77	68	52	80	77	80	73
imotm	4	7	26709	CB	77	59	66	74	68	80	80
imotm	4	7	137551	LW	77	87	75	76	79	47	79
imotm	4	7	184267	CAM	77	80	68	77	86	52	62
imotm	4	7	204713	ST	74	88	76	76	79	53	71
imotm	4	7	199042	CM	74	77	73	81	76	60	57
imotm	4	7	204082	CB	73	75	51	57	57	77	80
imotm	4	7	186817	CB	71	61	45	60	52	72	73
recordbreaker	7	6	11141	ST	90	90	93	78	94	62	99
# TOTW goalkeepers (all weeks). Resolved from recon/keepers.tsv by GK stat fingerprint +
# nationality (tools/resolve_gk.py); 10 known ids verified. GK face stats = DIV HAN KIC REF SPE POS.
totw	8	3	1179	GK	87	92	80	66	82	46	92
totw	8	3	162835	GK	86	90	85	70	92	57	88
totw	8	3	167948	GK	85	88	82	74	92	63	83
totw	9	3	162835	GK	85	89	82	70	90	57	86
totw	8	3	150724	GK	84	87	79	79	89	56	83
totw	8	3	115533	GK	83	90	83	72	90	42	85
totw	8	3	16254	GK	83	86	83	77	88	50	85
totw	8	3	165580	GK	83	93	78	74	93	55	79
totw	9	3	115533	GK	82	88	80	72	88	42	82
totw	8	3	116494	GK	82	83	83	80	87	38	85
totw	8	3	192563	GK	82	86	82	84	88	46	83
totw	9	3	16254	GK	82	84	80	77	85	50	83
totw	9	3	165580	GK	82	92	75	74	92	55	76
totw	8	3	188943	GK	81	87	86	77	87	45	84
totw	8	3	186569	GK	81	87	83	74	87	44	82
totw	8	3	158121	GK	81	84	84	75	85	46	84
totw	10	3	115533	GK	81	86	78	72	85	42	79
totw	9	3	192563	GK	81	84	80	84	86	46	80
totw	8	3	139062	GK	80	83	74	68	88	52	86
totw	9	3	188943	GK	80	85	83	77	85	45	82
totw	8	3	140233	GK	80	86	71	76	87	47	77
totw	9	3	158121	GK	80	81	81	75	83	46	82
totw	8	3	139968	GK	80	82	82	75	87	42	80
totw	9	3	186569	GK	80	83	78	73	84	47	78
totw	8	3	170597	GK	80	84	82	72	86	50	78
totw	8	3	164505	GK	80	82	82	69	84	50	80
totw	8	3	146797	GK	78	82	73	76	81	45	83
totw	8	3	193041	GK	78	90	75	68	85	61	76
totw	8	3	167959	GK	78	80	77	69	85	43	81
totw	8	3	163791	GK	78	84	74	76	82	47	81
totw	8	3	47903	GK	78	80	78	65	82	31	77
totw	8	3	194911	GK	78	75	85	64	82	46	78
totw	8	3	142902	GK	78	83	73	82	80	65	76
totw	9	3	139968	GK	78	80	79	75	85	42	77
totw	8	3	101880	GK	78	83	74	74	85	38	75
totw	8	3	111661	GK	77	85	76	61	86	44	71
totw	8	3	163301	GK	77	81	74	84	80	41	73
totw	8	3	142721	GK	77	79	77	70	80	35	78
totw	8	3	190778	GK	77	80	77	77	79	57	78
totw	8	3	182736	GK	77	80	77	63	81	36	80
totw	8	3	176550	GK	77	82	73	77	85	34	75
totw	8	3	3712	GK	77	79	78	67	72	50	88
totw	8	3	49000	GK	74	77	76	69	81	33	78
totw	8	3	183070	GK	74	75	74	70	75	54	74
totw	8	3	136686	GK	74	81	74	72	75	56	74
totw	9	3	193041	GK	74	87	73	68	83	54	74
totw	8	3	183497	GK	74	79	76	70	75	44	82
totw	8	3	49212	GK	74	79	74	69	78	42	72
totw	8	3	179783	GK	74	80	74	73	81	37	72
totw	8	3	140498	GK	74	77	72	72	79	48	75
totw	8	3	158826	GK	74	75	77	71	78	42	77
totw	8	3	146527	GK	74	68	82	73	68	44	85
totw	8	3	18122	GK	74	75	74	77	80	42	80
totw	8	3	189357	GK	74	78	75	69	79	47	75
totw	8	3	120309	GK	74	75	77	55	86	53	67
totw	8	3	146458	GK	74	80	72	64	81	55	74
totw	9	3	182736	GK	74	77	74	63	78	36	77
totw	8	3	17912	GK	74	77	70	76	74	49	81
totw	8	3	7939	GK	74	79	73	68	78	50	77
totw	8	3	164507	GK	73	77	68	62	76	52	77
totw	8	3	199005	GK	73	74	73	70	74	62	75
totw	8	3	11381	GK	73	76	75	68	77	44	75
totw	8	3	179547	GK	73	76	74	63	77	50	70
totw	8	3	177475	GK	73	79	73	72	80	50	71
totw	8	3	178566	GK	73	74	78	73	81	55	70
totw	8	3	16097	GK	73	77	76	69	76	69	72
totw	8	3	199482	GK	73	76	74	67	81	59	73
totw	8	3	192593	GK	73	76	72	75	76	51	70
totw	10	3	193041	GK	73	84	69	68	80	54	70
totw	8	3	168965	GK	73	77	75	71	75	43	71
totw	8	3	142258	GK	73	76	72	62	76	52	73
totw	8	3	156092	GK	73	78	77	76	77	31	75
totw	8	3	189296	GK	72	78	73	52	78	28	68
totw	8	3	150477	GK	72	75	72	66	74	28	72
totw	8	3	158777	GK	72	78	74	60	75	38	68
totw	8	3	200698	GK	71	73	73	70	73	42	71
totw	8	3	200726	GK	71	77	70	67	72	45	66
totw	8	3	198355	GK	71	73	69	61	79	63	69
totw	8	3	189430	GK	71	74	70	52	77	45	71
totw	8	3	186941	GK	71	74	70	65	75	36	74
totw	8	3	163810	GK	71	76	72	72	71	42	70
totw	8	3	183477	GK	71	70	72	61	76	36	73
totw	8	3	200059	GK	71	75	67	64	74	43	65
totw	8	3	200110	GK	71	71	72	65	74	47	70
totw	8	3	190780	GK	70	76	63	59	78	60	67
totw	8	3	183475	GK	70	69	68	62	78	35	69
totw	8	3	177004	GK	70	75	66	62	73	51	69
totw	8	3	170632	GK	70	72	73	64	72	22	71
totw	8	3	204813	GK	69	70	65	63	72	46	71
totw	8	3	190459	GK	69	69	70	64	72	35	69
totw	8	3	179820	GK	69	73	64	59	74	51	67
totw	8	3	193302	GK	69	72	65	62	73	59	67
totw	8	3	166937	GK	64	75	72	59	66	44	56
totw	8	3	138026	GK	64	70	67	61	69	56	66
totw	8	3	182649	GK	64	57	55	46	63	41	51
totw	8	3	207557	GK	64	70	61	48	72	28	69
totw	8	3	210422	GK	64	63	65	65	63	30	56
totw	8	3	163613	GK	64	67	58	70	71	55	66
totw	8	3	155871	GK	64	72	66	61	69	59	65
totw	8	3	151184	GK	64	60	70	59	63	48	71
totw	8	3	149257	GK	64	70	63	64	66	58	69
# TOTW players/keeper resolved by birthdate (not in the outfield CSV):
totw	8	3	179645	CB	77	64	45	67	51	78	76
totw	8	3	135507	CM	82	85	78	85	83	72	56
totw	8	3	193698	GK	80	82	77	75	83	49	77
totw	8	3	106850	ST	80	80	81	79	85	48	76
# === TOTW auto-generated by tools/gen_totw.py - regenerated in place; hand-edit rows ABOVE only ===
totw	8	3	158023	CF	96	93	93	88	97	46	71
totw	9	3	158023	CF	95	92	91	86	96	45	70
totw	8	3	20801	LW	94	94	94	81	93	50	89
totw	9	3	20801	LM	93	93	92	80	92	49	87
totw	8	3	41236	ST	92	79	94	85	91	57	84
totw	8	3	176580	ST	91	85	94	82	94	60	82
totw	8	3	183277	LM	91	92	92	91	93	52	66
totw	9	3	41236	ST	91	78	93	84	91	56	83
totw	8	3	156616	LM	91	91	83	86	94	49	57
totw	8	3	189596	RM	90	87	95	91	90	59	83
totw	8	3	121939	RB	90	82	61	90	86	88	71
totw	8	3	41	LW	90	76	74	93	93	67	57
totw	8	3	9014	RM	90	93	89	84	93	50	62
totw	9	3	183277	LM	90	91	88	90	93	51	65
totw	9	3	176580	ST	90	84	92	79	93	59	81
totw	8	3	153079	ST	90	90	90	79	91	46	75
totw	10	3	41236	ST	90	77	92	80	90	55	81
totw	8	3	7826	ST	90	77	91	83	86	50	74
totw	8	3	188545	ST	89	85	90	74	89	57	88
totw	8	3	183898	RW	89	91	85	89	90	61	65
totw	8	3	162895	CDM	89	71	85	95	88	70	75
totw	8	3	164240	CB	89	82	64	77	73	91	87
totw	8	3	173731	RM	89	94	90	87	88	76	78
totw	8	3	168542	LM	89	79	80	88	91	48	61
totw	8	3	121944	CDM	89	64	82	89	85	81	76
totw	9	3	9014	RM	89	92	87	82	93	49	61
totw	9	3	121939	CDM	89	81	60	89	85	87	70
totw	10	3	176580	ST	89	83	89	77	92	58	78
totw	10	3	183277	LM	89	90	85	88	92	50	64
totw	9	3	153079	ST	89	89	88	74	91	45	74
totw	8	3	120274	ST	88	89	94	84	92	49	66
totw	8	3	139869	CAM	88	76	90	93	89	65	58
totw	9	3	189596	ST	88	85	90	87	87	57	80
totw	9	3	183898	CM	88	91	83	88	90	60	63
totw	8	3	165153	LW	88	87	90	83	87	50	80
totw	8	3	178088	CAM	88	79	80	85	89	47	65
totw	8	3	143001	ST	88	83	91	82	88	59	74
totw	9	3	164240	CB	88	81	62	75	72	89	85
totw	9	3	162895	CM	88	70	84	93	87	69	74
totw	9	3	173731	RM	88	93	87	85	86	75	77
totw	9	3	188545	ST	88	84	87	72	87	55	85
totw	8	3	176635	CAM	88	77	77	87	89	45	58
totw	10	3	121939	RB	88	80	58	87	83	85	68
totw	8	3	179844	ST	87	86	89	66	85	60	84
totw	8	3	198710	CAM	87	83	88	93	92	60	70
totw	8	3	7763	CM	87	59	79	93	84	68	54
totw	8	3	178603	CB	87	67	64	79	71	90	91
totw	9	3	120274	ST	87	88	92	83	91	47	64
totw	8	3	165239	RM	87	84	85	88	91	55	65
totw	8	3	188350	LM	87	93	90	84	89	49	64
totw	8	3	20289	CDM	87	78	79	82	80	85	85
totw	8	3	159065	LW	87	90	85	77	91	51	64
totw	8	3	138956	CB	87	78	57	67	59	89	84
totw	8	3	152729	CB	87	63	55	77	68	89	83
totw	8	3	181872	CM	87	81	83	86	85	84	73
totw	8	3	189505	LW	87	86	86	84	88	52	61
totw	10	3	183898	RM	87	90	81	86	88	59	61
totw	9	3	143001	ST	87	82	90	80	86	58	73
totw	10	3	162895	CM	87	69	82	91	84	67	73
totw	10	3	188545	ST	87	83	83	70	86	54	84
totw	8	3	188152	RM	86	85	81	86	89	48	56
totw	8	3	192318	LW	86	83	78	84	91	52	64
totw	10	3	120274	ST	86	87	90	82	90	46	63
totw	8	3	167664	ST	86	80	89	67	80	47	78
totw	8	3	189362	RM	86	88	90	86	87	62	76
totw	9	3	198710	CAM	86	82	87	92	91	59	69
totw	9	3	179844	ST	86	85	87	64	83	59	83
totw	9	3	178603	CB	86	66	61	76	69	88	87
totw	10	3	189596	RM	86	83	84	83	82	55	77
totw	8	3	177003	CM	86	77	77	89	88	71	63
totw	9	3	139869	CAM	86	74	86	90	86	63	55
totw	8	3	146562	LM	86	79	81	87	88	52	64
totw	8	3	177509	CB	86	75	44	66	65	91	88
totw	8	3	146536	RM	86	91	76	82	88	45	59
totw	9	3	165153	ST	86	85	85	76	84	47	78
totw	9	3	159065	LW	86	89	82	75	90	50	62
totw	9	3	189505	RW	86	85	80	81	87	53	59
totw	9	3	188350	LM	86	92	88	82	87	48	62
totw	8	3	181820	ST	85	82	85	79	89	51	78
totw	8	3	177326	CAM	85	87	80	89	87	47	52
totw	8	3	50542	ST	85	86	91	63	85	45	72
totw	8	3	170890	CM	85	83	73	85	83	89	84
totw	8	3	170481	CB	85	56	67	72	69	90	89
totw	9	3	188152	CAM	85	84	79	83	88	47	54
totw	8	3	182493	CB	85	68	51	69	61	89	87
totw	8	3	148803	ST	85	72	85	63	73	51	83
totw	8	3	13732	CB	85	44	52	62	52	90	87
totw	9	3	167664	ST	85	79	84	65	78	46	77
totw	8	3	143745	LM	85	75	79	86	90	50	71
totw	8	3	9676	ST	85	91	86	70	88	51	76
totw	8	3	146758	ST	85	79	85	68	80	55	82
totw	10	3	198710	CAM	85	81	83	89	89	58	68
totw	8	3	186627	ST	85	85	86	68	87	50	76
totw	9	3	165239	LM	85	82	80	85	88	52	62
totw	9	3	177509	CB	85	74	43	64	64	90	85
totw	10	3	139869	CAM	85	73	81	89	85	62	53
totw	8	3	182521	CAM	85	58	84	89	85	64	58
totw	8	3	190871	LW	85	91	83	80	93	44	60
totw	10	3	179844	ST	85	84	85	62	82	58	82
totw	9	3	189362	RW	85	87	88	83	85	61	75
totw	8	3	197781	CAM	85	81	76	83	90	47	63
totw	8	3	196144	ST	84	84	81	69	81	61	89
totw	8	3	113422	LM	84	78	88	76	88	48	73
totw	8	3	136248	RW	84	86	79	87	86	46	51
totw	9	3	50542	ST	84	85	89	61	83	44	71
totw	8	3	180930	ST	84	73	86	70	83	52	78
totw	8	3	173771	RB	84	86	70	79	76	83	79
totw	8	3	120533	CB	84	75	52	62	59	86	82
totw	8	3	138449	CAM	84	72	87	84	88	47	54
totw	8	3	13743	CDM	84	68	87	88	79	75	76
totw	8	3	165229	CB	84	79	42	68	63	86	83
totw	8	3	31432	ST	84	73	85	72	78	52	88
totw	8	3	176676	LB	84	83	71	82	85	83	71
totw	8	3	194765	LW	84	87	83	79	88	46	68
totw	8	3	167943	CAM	84	70	83	86	82	76	71
totw	9	3	170481	CB	84	55	66	74	67	89	87
totw	8	3	184941	RW	84	89	86	77	88	56	67
totw	9	3	182493	CB	84	67	50	68	60	86	86
totw	9	3	13732	CB	84	43	48	60	51	87	86
totw	8	3	162347	CM	84	79	77	87	84	75	70
totw	11	3	198710	RM	84	80	81	86	87	56	67
totw	8	3	163631	LB	84	80	78	81	80	81	73
totw	8	3	189332	LB	83	93	69	79	83	82	70
totw	8	3	188829	CB	83	79	50	75	71	88	81
totw	8	3	152999	ST	83	86	85	78	86	45	74
totw	8	3	200949	RW	83	93	80	81	89	54	56
totw	8	3	30110	ST	83	67	85	85	85	44	82
totw	8	3	25420	ST	83	66	88	75	85	50	82
totw	8	3	188612	LW	83	94	76	82	90	64	60
totw	8	3	195864	CM	83	77	83	85	88	80	85
totw	8	3	190460	LM	83	84	78	86	86	56	54
totw	8	3	171833	RW	83	90	82	68	85	46	74
totw	8	3	183280	CB	83	55	57	67	59	85	87
totw	8	3	23461	CB	83	56	43	60	45	90	80
totw	8	3	184881	RM	83	86	76	83	89	53	60
totw	8	3	112253	CDM	83	54	53	81	72	82	76
totw	8	3	164169	LB	83	84	64	81	80	83	68
totw	9	3	170890	CM	83	80	69	81	79	85	81
totw	9	3	194765	LW	83	86	79	78	86	44	65
totw	9	3	138449	CAM	83	71	84	82	86	45	52
totw	8	3	168651	CM	83	71	87	89	84	63	57
totw	8	3	142780	CB	83	68	51	69	67	87	84
totw	8	3	135475	CDM	83	77	77	82	78	85	88
totw	8	3	53612	CB	83	36	43	61	47	89	81
totw	9	3	167943	CAM	83	69	79	84	80	75	70
totw	8	3	186561	CDM	83	73	83	85	84	74	67
totw	8	3	161956	CM	83	70	79	88	83	71	61
totw	8	3	169416	ST	83	87	82	74	88	47	67
totw	8	3	1001	CAM	83	65	82	89	86	62	64
totw	8	3	170797	CM	83	57	76	87	84	71	53
totw	8	3	162409	ST	83	84	89	74	86	43	61
totw	9	3	184941	ST	83	88	80	75	87	54	65
totw	8	3	1238	CF	83	53	89	90	86	49	54
totw	9	3	177326	CAM	83	85	76	84	85	44	50
totw	8	3	142708	ST	83	78	84	66	82	46	81
totw	8	3	197445	LB	83	87	74	88	84	83	72
totw	10	3	170481	CB	83	54	64	73	66	86	84
totw	8	3	123603	CB	83	70	47	69	63	87	82
totw	8	3	177388	CAM	82	83	86	82	87	57	65
totw	8	3	170368	RM	82	81	82	81	90	43	67
totw	8	3	193130	RW	82	90	89	80	88	52	70
totw	8	3	185221	CDM	82	76	60	79	74	86	79
totw	8	3	135460	CAM	82	47	83	87	85	46	68
totw	8	3	175943	CAM	82	85	89	77	87	45	44
totw	8	3	199434	CAM	82	76	81	88	86	50	64
totw	8	3	103935	CM	82	57	86	88	85	69	66
totw	8	3	155897	LW	82	74	86	78	83	54	85
totw	9	3	25420	ST	82	65	84	69	83	49	80
totw	10	3	50542	ST	82	84	87	58	80	43	69
totw	8	3	184111	ST	82	82	81	64	77	49	86
totw	8	3	184144	LM	82	84	77	80	88	51	58
totw	8	3	178509	ST	82	67	87	71	72	55	84
totw	8	3	188567	RM	82	95	85	80	80	57	79
totw	9	3	188829	CB	82	78	48	73	69	85	78
totw	8	3	192883	CAM	82	81	82	78	85	64	67
totw	8	3	166706	CB	82	62	43	60	53	84	86
totw	8	3	189509	CM	82	73	73	81	87	59	67
totw	8	3	136130	CB	82	56	68	59	58	84	88
totw	8	3	53050	ST	82	75	84	69	82	49	86
totw	9	3	184881	RM	82	85	75	79	88	52	59
totw	8	3	164859	RW	82	96	76	74	82	48	59
totw	8	3	190531	LB	82	78	47	65	64	86	90
totw	8	3	135507	CM	82	84	80	85	83	71	56
totw	8	3	176769	CF	82	77	84	68	86	47	63
totw	8	3	139997	RB	82	80	79	89	77	86	68
totw	8	3	183285	CB	82	71	41	68	57	84	83
totw	8	3	173909	CAM	82	78	82	80	83	76	85
totw	9	3	195864	CM	82	76	81	83	86	79	84
totw	9	3	188612	LW	82	94	71	79	89	63	59
totw	9	3	168651	CM	82	70	85	88	81	62	55
totw	8	3	168609	CB	82	77	50	60	63	83	85
totw	8	3	193747	LM	82	76	74	87	83	62	64
totw	10	3	170890	CM	82	79	67	79	76	84	78
totw	9	3	186561	CDM	82	72	80	83	82	73	64
totw	8	3	7743	LM	81	87	82	80	81	58	65
totw	8	3	184344	CB	81	74	55	75	66	85	88
totw	8	3	134956	CB	81	65	61	70	56	86	85
totw	8	3	178518	CM	81	84	75	84	83	78	67
totw	8	3	1625	ST	81	77	84	79	86	46	68
totw	8	3	178372	RB	81	62	60	69	60	88	85
totw	8	3	147445	LM	81	78	88	84	84	45	79
totw	8	3	173208	LB	81	83	67	79	77	83	73
totw	8	3	182495	RB	81	83	60	69	70	84	80
totw	8	3	159147	CB	81	67	72	76	67	86	82
totw	8	3	184042	ST	81	74	82	60	78	56	88
totw	8	3	167812	RB	81	69	35	70	65	89	85
totw	8	3	171579	RM	81	69	76	82	76	73	80
totw	8	3	150516	LM	81	82	91	71	81	47	69
totw	8	3	213439	CM	81	84	72	80	90	42	52
totw	8	3	172879	CB	81	78	54	73	65	86	84
totw	8	3	146760	RB	81	85	61	78	81	87	66
totw	8	3	176571	LW	81	83	76	80	84	67	86
totw	8	3	171919	CB	81	75	65	63	55	84	80
totw	9	3	199434	CAM	81	75	76	86	84	49	62
totw	8	3	186832	LM	81	84	79	80	84	75	74
totw	8	3	106231	ST	81	69	84	63	73	55	91
totw	8	3	187339	RM	81	89	86	78	86	51	69
totw	9	3	177388	CM	81	82	83	80	85	56	63
totw	8	3	142938	ST	81	68	83	61	74	49	87
totw	9	3	103935	CM	81	56	82	86	83	68	63
totw	8	3	170369	ST	81	87	82	84	90	42	54
totw	8	3	135455	RB	81	81	79	83	76	85	81
totw	9	3	175943	CAM	81	84	81	76	85	44	42
totw	9	3	53050	ST	81	74	81	67	80	48	83
totw	8	3	158232	ST	81	85	83	73	88	45	76
totw	8	3	180819	CAM	81	78	74	80	85	59	70
totw	9	3	139997	RB	81	79	76	89	75	83	66
totw	8	3	180206	CM	81	71	81	86	84	67	65
totw	8	3	183483	ST	81	64	86	65	76	46	83
totw	8	3	192505	ST	81	85	81	70	77	49	80
totw	8	3	195086	CB	81	55	45	69	63	83	82
totw	9	3	188567	RM	81	95	81	78	79	56	78
totw	8	3	186146	ST	80	86	80	74	80	47	80
totw	8	3	155885	RM	80	90	75	78	89	56	61
totw	8	3	185103	LB	80	68	76	80	75	83	78
totw	8	3	53405	LB	80	76	64	85	75	83	76
totw	8	3	141200	CB	80	62	53	65	55	83	83
totw	8	3	169596	CB	80	59	40	60	50	85	84
totw	8	3	199561	LM	80	82	80	79	87	55	56
totw	8	3	202556	LW	80	91	85	72	87	48	66
totw	8	3	184484	CAM	80	70	86	79	74	58	68
totw	8	3	189250	ST	80	82	82	59	75	50	86
totw	8	3	192086	CF	80	86	82	73	78	54	74
totw	8	3	330	ST	80	72	82	72	83	48	65
totw	9	3	1625	ST	80	76	82	77	85	45	65
totw	8	3	176605	LB	80	91	69	80	80	78	67
totw	8	3	193532	CB	80	77	70	72	70	86	74
totw	8	3	181459	RB	80	78	61	82	71	80	81
totw	8	3	163023	ST	80	86	80	78	80	56	64
totw	8	3	138708	CAM	80	80	79	84	83	45	57
totw	8	3	191740	CAM	80	77	65	81	86	64	51
totw	8	3	53578	CDM	80	67	62	76	72	82	78
totw	8	3	158138	CAM	80	79	82	79	81	56	69
totw	8	3	189575	LW	80	86	75	72	86	50	54
totw	8	3	147621	RM	80	83	75	80	81	58	62
totw	8	3	192615	CB	80	61	55	68	60	87	85
totw	8	3	106213	RB	80	80	63	80	76	82	67
totw	8	3	202652	CF	80	92	75	74	86	54	50
totw	8	3	176600	ST	80	81	81	73	77	48	70
totw	8	3	193338	ST	80	81	82	64	80	45	79
totw	8	3	179605	LM	80	80	76	80	86	46	50
totw	8	3	188005	CDM	80	69	52	70	65	78	85
totw	8	3	167614	CAM	80	73	80	83	76	73	69
totw	8	3	189125	LM	80	83	77	81	83	70	66
totw	8	3	146460	CDM	80	67	67	77	66	79	59
totw	8	3	179847	CB	80	48	41	66	63	85	77
totw	8	3	188081	CAM	80	80	74	79	85	72	56
totw	8	3	154950	LM	80	80	75	82	81	71	60
totw	8	3	193504	CB	80	76	43	64	64	84	85
totw	8	3	182168	CB	80	60	40	55	50	86	80
totw	9	3	134956	CB	80	64	60	68	55	83	82
totw	9	3	167812	CB	80	68	34	64	64	85	83
totw	8	3	201942	CAM	80	78	75	78	84	44	72
totw	9	3	146760	RB	80	84	60	75	80	84	64
totw	8	3	137159	CM	80	80	70	78	82	49	62
totw	8	3	176619	ST	80	87	76	74	79	51	87
totw	8	3	193476	ST	80	82	79	81	84	52	52
