week	order	starter	pos	baseId	rating
8	1	1	RCB	158626	80
8	2	1	CB	193504	77
8	3	1	LCB	200458	77
8	4	1	RM	210935	73
8	5	1	RCM	185373	79
8	6	1	LCM	204523	74
8	7	1	LM	20801	93
8	8	1	RW	188545	88
8	9	1	ST	153079	90
8	10	1	LW	165153	86
8	11	0	GK	146458	74
8	12	0	CB	176253	64
8	13	0	RM	211862	71
8	14	0	CM	162134	64
8	15	0	ST	174551	78
8	16	0	ST	205431	71
8	17	0	ST	200974	64
9	0	1	GK	170597	80
9	1	1	RCB	13130	78
9	2	1	CB	179645	77
9	3	1	LCB	203376	73
9	4	1	RDM	162895	87
9	5	1	LDM	105474	78
9	6	1	RM	180819	81
9	7	1	LM	195864	82
9	8	1	CAM	173909	82
9	9	1	RS	176270	78
9	10	1	LS	200104	78
9	11	0	GK	170632	70
9	12	0	CB	138373	71
9	13	0	RM	201266	69
9	14	0	ST	212188	64
9	15	0	ST	194209	74
9	16	0	CF	155979	74
9	17	0	ST	161938	73
10	0	1	GK	142902	78
10	1	1	RB	181459	78
10	2	1	RCB	182862	79
10	3	1	LCB	183285	82
10	4	1	LB	139997	82
10	5	1	RCM	162347	84
10	6	1	CM	146762	74
10	7	1	LCM	1001	83
10	8	1	RW	150309	77
10	9	1	ST	158543	78
10	10	1	LW	20801	94
10	11	0	GK	120309	74
10	12	0	LB	179899	64
10	13	0	CB	106134	64
10	14	0	CDM	202934	74
10	15	0	ST	202676	64
10	16	0	RW	159578	69
10	17	0	ST	202686	68
11	0	1	GK	193698	80
11	1	1	RCB	188654	73
11	2	1	CB	193525	77
11	3	1	LCB	193475	74
11	4	1	RM	146536	86
11	5	1	RCM	153296	80
11	6	1	LCM	138456	78
11	7	1	LM	121939	89
11	8	1	RW	135697	78
11	9	1	ST	106850	80
11	10	1	LW	169416	83
11	11	0	GK	149257	64
11	12	0	LB	207537	64
11	13	0	CAM	107651	74
11	14	0	CAM	208919	64
11	15	0	CAM	200210	64
11	16	0	ST	204690	73
11	17	0	ST	150729	64
12	0	1	GK	182736	77
12	1	1	RCB	159147	80
12	2	1	CB	13732	84
12	3	1	LCB	157430	79
12	4	1	RDM	161956	83
12	5	1	LDM	186561	82
12	6	1	RM	173731	88
12	7	1	LM	165239	85
12	8	1	CAM	9014	89
12	9	1	RS	176769	82
12	10	1	LS	159171	78
12	11	0	GK	189357	74
12	12	0	LB	198335	71
12	13	0	CB	200574	64
12	14	0	RM	195365	77
12	15	0	CDM	189574	79
12	16	0	ST	199451	77
12	17	0	ST	208065	64
13	0	1	GK	139968	80
13	1	1	RCB	135455	80
13	2	1	CB	152741	74
13	3	1	LCB	185239	80
13	4	1	RM	137960	77
13	5	1	RCM	170570	78
13	6	1	LCM	150415	80
13	7	1	LM	156616	91
13	8	1	RF	176580	89
13	9	1	LF	186627	85
13	10	1	ST	41236	91
13	11	0	GK	158777	72
13	12	0	LB	186190	73
13	13	0	CB	184664	73
13	14	0	CM	203483	74
13	16	0	LW	193871	64
13	17	0	ST	190919	74
14	0	1	GK	115533	81
14	1	1	RCB	52958	74
14	2	1	CB	186695	74
14	3	1	LCB	192658	78
14	4	1	RM	198710	85
14	5	1	RCM	204523	77
14	6	1	LCM	135507	82
14	7	1	LM	200223	80
14	8	1	RF	158232	81
14	9	1	LF	167237	80
14	10	1	ST	143001	87
14	11	0	GK	142258	73
14	12	0	LB	201999	64
14	13	0	CAM	205083	71
14	14	0	RM	201083	69
14	15	0	CAM	179633	71
14	16	0	ST	177278	64
14	17	0	ST	139597	74
15	0	1	GK	18122	74
15	1	1	RB	177578	74
15	2	1	RCB	182493	84
15	3	1	LCB	177509	85
15	4	1	LB	190531	82
15	5	1	RCM	183898	87
15	6	1	CM	167943	83
15	7	1	LCM	199418	77
15	8	1	RW	194365	74
15	9	1	ST	53050	81
15	10	1	LW	189505	87
15	11	0	GK	146527	74
15	12	0	CB	200758	64
15	13	0	CAM	199189	73
15	14	0	RM	168950	73
15	15	0	ST	23015	74
15	16	0	ST	204136	73
15	17	0	ST	49026	71
16	0	1	GK	150724	84
16	1	1	RB	180216	73
16	2	1	RCB	53612	83
16	3	1	LCB	175092	79
16	4	1	LB	147445	80
16	5	1	CDM	135475	83
16	6	1	RM	164859	82
16	7	1	LM	183277	89
16	8	1	CAM	152588	74
16	9	1	RS	146758	85
16	10	1	LS	208022	73
16	11	0	GK	200059	71
16	13	0	RB	142455	69
16	14	0	LM	192473	69
16	15	0	LM	186395	71
16	16	0	ST	202526	64
16	17	0	ST	208675	70
17	0	1	GK	158826	74
17	1	1	RCB	204963	79
17	2	1	CB	142780	83
17	3	1	LCB	184344	80
17	4	1	RM	184881	82
17	5	1	RCM	168651	83
17	6	1	LCM	138449	83
17	7	1	LM	175943	81
17	8	1	RW	184941	84
17	9	1	ST	146011	73
17	10	1	LW	194765	83
17	11	0	GK	151184	64
17	12	0	RWB	171378	73
17	13	0	CB	193073	64
17	14	0	CM	104296	69
17	15	0	CAM	51771	73
17	16	0	CAM	138810	77
17	17	0	ST	194681	64
18	0	1	GK	194911	78
18	1	1	RCB	135455	81
18	2	1	CB	170481	84
18	3	1	LCB	159580	77
18	4	1	RDM	6826	80
18	5	1	LDM	197242	78
18	6	1	RM	108080	80
18	7	1	LM	170890	83
18	8	1	CAM	165740	79
18	9	1	RS	213430	74
18	10	1	LS	170369	81
18	11	0	GK	168965	73
18	12	0	CB	201377	74
18	13	0	CM	169593	64
18	15	0	CM	208549	64
18	16	0	RW	210935	74
18	17	0	RW	177576	69
19	0	1	GK	193041	73
19	1	1	RCB	188155	74
19	2	1	CB	3622	79
19	3	1	LCB	150565	77
19	4	1	RM	181872	87
19	5	1	RCM	199556	79
19	6	1	LCM	167943	84
19	7	1	LM	146562	86
19	8	1	RW	177528	78
19	9	1	ST	9676	85
19	10	1	LW	53050	82
19	11	0	GK	155871	64
19	12	0	RB	195479	64
19	13	0	CM	183999	64
19	15	0	ST	163828	74
19	16	0	ST	190017	64
19	17	0	ST	169972	64
20	0	1	GK	158121	80
20	1	1	RCB	135742	74
20	2	1	CB	152729	87
20	3	1	LCB	164169	83
20	4	1	RM	103935	81
20	5	1	RCM	1075	77
20	6	1	LCM	112253	83
20	7	1	LM	143745	85
20	8	1	RW	106231	80
20	9	1	ST	193301	77
20	10	1	LW	194765	83
20	11	0	GK	190778	77
20	12	0	RB	190155	73
20	13	0	LM	203106	72
20	14	0	RM	173532	64
20	15	0	RM	198264	64
20	16	0	CAM	165314	70
20	17	0	ST	187075	77
21	0	1	GK	140498	74
21	1	1	RCB	51123	77
21	2	1	CB	136130	82
21	3	1	LCB	138956	87
21	4	1	RDM	189509	82
21	5	1	LDM	198784	79
21	6	1	RM	184881	83
21	7	1	LM	155976	77
21	8	1	CAM	139869	86
21	9	1	RS	142938	81
21	10	1	LS	193476	80
21	11	0	GK	150477	72
21	12	0	CB	198904	71
21	14	0	CAM	51394	77
21	15	0	ST	155979	77
21	16	0	ST	196073	74
21	17	0	ST	204529	73
22	0	1	GK	192593	73
22	1	1	RCB	23461	83
22	2	1	CB	172949	77
22	3	1	LCB	166706	82
22	4	1	RM	177388	81
22	5	1	RCM	177003	86
22	6	1	LCM	183277	89
22	7	1	LM	202652	79
22	8	1	CAM	192883	82
22	9	1	RS	204963	79
22	10	1	LS	167664	85
22	11	0	GK	163613	64
22	12	0	LB	53630	74
22	14	0	CM	137159	80
22	15	0	ST	215374	64
22	16	0	ST	110376	73
22	17	0	ST	193891	64
23	0	1	GK	165580	83
23	1	1	RB	146760	80
23	2	1	RCB	143102	77
23	3	1	LCB	139792	74
23	4	1	LB	188829	82
23	5	1	RCM	188567	82
23	6	1	CM	201942	80
23	7	1	LCM	162895	88
23	8	1	CAM	158023	95
23	9	1	RS	193338	78
23	10	1	LS	176794	79
23	11	0	GK	179783	74
23	12	0	CB	163756	64
23	13	0	LM	164234	72
23	14	0	CAM	194091	72
23	15	0	ST	167705	73
23	16	0	ST	178089	64
23	17	0	ST	150496	74
24	0	1	GK	47903	78
24	1	1	RCB	167812	80
24	2	1	CB	13732	85
24	3	1	LCB	183280	83
24	4	1	RM	189596	86
24	5	1	RCM	171833	83
24	6	1	LCM	183711	79
24	7	1	LM	146377	74
24	8	1	CAM	142603	74
24	9	1	RS	178509	82
24	10	1	LS	41236	92
24	11	0	GK	199482	73
24	12	0	CB	186172	64
24	13	0	CM	200960	64
24	14	0	CAM	198426	72
24	15	0	ST	188044	74
24	16	0	ST	205876	71
24	17	0	ST	176211	64
25	0	1	GK	163791	78
25	1	1	RCB	134956	80
25	2	1	CB	164240	88
25	3	1	LCB	178603	86
25	4	1	RM	9014	90
25	5	1	RCM	183394	77
25	6	1	LCM	187339	81
25	7	1	LM	184144	82
25	8	1	RW	106231	81
25	9	1	ST	184111	82
25	10	1	LW	143001	88
25	11	0	GK	183477	71
25	12	0	CB	171137	73
25	13	0	LM	169078	64
25	14	0	LM	212196	64
25	15	0	CF	45074	73
25	16	0	ST	202539	72
25	17	0	ST	170353	71
26	0	1	GK	192563	82
26	1	1	RB	181816	77
26	2	1	RCB	182168	80
26	3	1	LCB	193504	80
26	4	1	LB	176676	84
26	5	1	RCM	197853	77
26	6	1	CM	154950	80
26	7	1	LCM	186832	81
26	8	1	RW	148803	85
26	9	1	ST	31432	84
26	10	1	LW	159065	87
26	11	0	GK	16097	73
26	12	0	RB	189300	71
26	13	0	CM	174859	71
26	14	0	CAM	201155	74
26	15	0	ST	153177	77
26	16	0	ST	178177	71
26	17	0	ST	176733	73
27	0	1	GK	1179	87
27	1	1	RCB	192615	79
27	2	1	CB	165229	84
27	3	1	LCB	182493	85
27	4	1	RM	188081	80
27	5	1	RCM	13743	84
27	6	1	LCM	121944	89
27	7	1	LM	168542	89
27	8	1	CAM	199434	81
27	9	1	RS	158023	96
27	10	1	LS	50542	82
27	11	0	GK	178566	73
27	12	0	RB	202371	72
27	13	0	CB	175088	73
27	14	0	LM	100806	74
27	15	0	LM	177673	64
27	16	0	ST	195093	73
27	17	0	ST	184624	74
28	0	1	GK	158121	81
28	1	1	RCB	212218	73
28	2	1	CB	179847	80
28	3	1	LCB	178684	73
28	4	1	RDM	20289	87
28	5	1	LDM	190460	83
28	6	1	RM	146460	80
28	7	1	LM	189125	80
28	8	1	CAM	188152	85
28	9	1	RS	176580	91
28	10	1	LS	41	90
28	11	0	GK	177475	73
28	12	0	RB	184753	64
28	13	0	LM	169281	73
28	14	0	CM	159080	74
28	15	0	ST	192387	77
28	16	0	ST	165804	73
29	0	1	GK	140233	80
29	1	1	RCB	200111	73
29	2	1	CB	201862	78
29	3	1	LCB	171919	81
29	4	1	RM	173731	89
29	5	1	RCM	167614	80
29	6	1	LCM	138449	84
29	7	1	LM	188350	87
29	8	1	RW	187075	79
29	9	1	ST	179844	86
29	10	1	LW	25420	82
29	11	0	GK	49212	74
29	12	0	RB	195479	68
29	13	0	LM	169792	74
29	14	0	RM	203816	64
29	15	0	ST	184550	70
29	16	0	ST	191834	74
29	17	0	ST	202837	64
30	0	1	GK	186569	81
30	1	1	RCB	148122	79
30	2	1	CB	120533	84
30	3	1	LCB	52270	79
30	4	1	RM	198710	86
30	5	1	RCM	188005	80
30	6	1	LCM	176571	81
30	7	1	LM	179605	80
30	8	1	CAM	178088	88
30	9	1	RS	189250	79
30	10	1	LS	155897	82
30	11	0	GK	163810	71
30	12	0	CB	203574	71
30	13	0	CDM	175657	64
30	14	0	RM	152514	74
30	15	0	ST	193338	80
30	16	0	ST	204292	64
31	0	1	GK	162835	85
31	1	1	RCB	188155	77
31	2	1	CB	146760	81
31	3	1	LCB	172879	81
31	4	1	RM	189362	86
31	5	1	RCM	103935	82
31	6	1	LCM	213439	81
31	7	1	LM	197756	77
31	8	1	CAM	183905	74
31	9	1	RS	167664	86
31	10	1	LS	176600	80
31	11	0	GK	183497	74
31	12	0	CB	170086	64
31	13	0	CM	189278	71
31	15	0	ST	186961	78
31	16	0	RW	178521	64
31	17	0	ST	165185	72
32	0	1	GK	179547	73
32	1	1	RCB	180216	78
32	2	1	CB	141200	79
32	3	1	LCB	173771	84
32	4	1	RM	177666	79
32	5	1	RCM	188388	78
32	6	1	LCM	195864	83
32	7	1	LM	150516	81
32	8	1	RW	202652	80
32	9	1	ST	188325	74
32	10	1	LW	199561	78
32	11	0	GK	186941	71
32	12	0	CB	206662	64
32	13	0	CAM	158933	70
32	14	0	LM	162926	70
32	15	0	RW	192671	74
32	16	0	ST	205559	71
32	17	0	ST	190722	73
33	0	1	GK	188943	80
33	1	1	RCB	106213	80
33	2	1	CB	192615	80
33	3	1	LCB	187598	74
33	4	1	RM	147621	80
33	5	1	RCM	171579	81
33	6	1	LCM	189218	74
33	7	1	LM	188612	83
33	8	1	CAM	199434	82
33	9	1	RS	25420	83
33	10	1	LS	30110	83
33	11	0	GK	11381	73
33	12	0	RB	214595	64
33	13	0	CAM	107651	77
33	14	0	CM	200478	72
33	15	0	ST	164464	71
33	16	0	LW	189575	80
33	17	0	ST	196073	77
34	0	1	GK	116494	82
34	1	1	RCB	40900	77
34	2	1	CB	138181	77
34	3	1	LCB	3484	77
34	4	1	RM	158138	80
34	5	1	RCM	53578	80
34	6	1	LCM	191740	80
34	7	1	LM	191725	77
34	8	1	RW	180930	84
34	9	1	ST	120274	86
34	10	1	LW	192318	86
34	11	0	GK	193041	74
34	12	0	LB	152598	64
34	13	0	LM	201927	64
34	14	0	CAM	205083	73
34	15	0	CAM	177673	67
34	16	0	ST	122586	64
34	17	0	ST	205670	71
35	0	1	GK	139062	80
35	1	1	RCB	167812	81
35	2	1	CB	156713	79
35	3	1	LCB	186550	74
35	4	1	RM	165239	87
35	5	1	RCM	175753	74
35	6	1	LCM	185061	77
35	7	1	LM	204737	74
35	8	1	RW	200949	83
35	9	1	ST	152999	83
35	10	1	LW	184042	81
35	11	0	GK	199005	73
35	12	0	CB	203030	72
35	13	0	CAM	198782	70
35	14	0	LM	193584	72
35	15	0	RW	205753	71
35	16	0	ST	192663	70
36	0	1	GK	167959	78
36	1	1	RCB	139860	74
36	2	1	CB	183766	74
36	3	1	LCB	159147	81
36	4	1	RM	187688	79
36	5	1	RCM	189560	79
36	6	1	LCM	175943	82
36	7	1	LM	199178	74
36	8	1	RW	149568	78
36	9	1	ST	120274	87
36	10	1	LW	199451	79
36	11	0	GK	189430	71
36	12	0	LB	175893	64
36	13	0	CB	209277	64
36	14	0	LM	139259	64
36	15	0	CF	167669	74
36	16	0	ST	138787	73
36	17	0	ST	169348	71
37	0	1	GK	142721	77
37	1	1	RCB	137159	72
37	2	1	CB	4111	74
37	3	1	LCB	189241	73
37	4	1	RM	52174	73
37	5	1	RCM	212718	69
37	6	1	LCM	142966	74
37	7	1	LM	138708	80
37	8	1	CAM	163023	80
37	9	1	RS	53436	77
37	10	1	LS	188860	74
37	11	0	GK	210422	64
37	12	0	RB	198455	64
37	13	0	CB	180440	71
37	15	0	CM	190499	64
37	16	0	ST	19410	64
38	0	1	GK	177004	70
38	1	1	RCB	140595	69
38	2	1	CB	107715	79
38	3	1	LCB	176828	69
38	4	1	RM	194083	70
38	5	1	RCM	189958	64
38	6	1	LCM	191725	79
38	7	1	LM	188975	71
38	8	1	CAM	136130	82
38	9	1	RS	187515	73
38	10	1	LS	50542	84
39	0	1	GK	164507	73
39	1	1	RCB	205556	64
39	2	1	CB	165169	71
39	3	1	LCB	52280	69
39	4	1	RM	168379	71
39	5	1	RCM	145210	64
39	6	1	LCM	147001	72
39	7	1	LM	203362	70
39	8	1	CAM	199152	73
39	9	1	RS	189728	73
39	10	1	LS	101490	70
40	0	1	GK	136686	74
40	1	1	RCB	152598	68
40	2	1	CB	198599	70
40	3	1	LCB	176347	69
40	4	1	RM	192328	70
40	5	1	RCM	156704	64
40	6	1	LCM	172517	73
40	7	1	LM	162391	64
40	8	1	RW	156368	74
40	9	1	ST	136553	79
40	10	1	LW	164464	73
40	11	0	GK	183475	70
40	12	0	RB	191111	64
40	13	0	RM	205214	64
40	14	0	RM	206635	64
40	15	0	ST	201484	64
40	16	0	CM	180894	64
40	17	0	ST	199569	69
41	0	1	GK	190780	70
41	1	1	RCB	136306	73
41	2	1	CB	185394	77
41	3	1	LCB	202605	72
41	4	1	RM	199121	71
41	5	1	RCM	104476	73
41	6	1	LCM	46740	73
41	7	1	LM	208448	64
41	8	1	RW	1625	80
41	9	1	ST	50542	85
41	10	1	LW	205065	71
41	11	0	GK	182649	64
41	12	0	CB	208771	64
41	13	0	CB	152883	71
41	14	0	LM	202989	64
41	15	0	ST	202175	64
41	16	0	ST	207858	64
41	17	0	ST	140456	64
42	0	1	GK	198355	71
42	1	1	RCB	162315	72
42	2	1	CB	172620	73
42	3	1	LCB	143207	73
42	4	1	RM	185194	73
42	5	1	RCM	172114	78
42	6	1	LCM	190536	73
42	7	1	LM	142603	77
42	8	1	CAM	193339	70
42	9	1	RS	110376	77
42	10	1	LS	330	80
42	11	0	GK	190459	69
42	12	0	CB	149654	64
42	13	0	LM	202225	64
42	14	0	LM	199752	72
42	15	0	RM	202518	64
42	16	0	ST	202337	64
42	17	0	ST	183994	64
43	0	1	GK	163301	77
43	1	1	RB	190155	74
43	2	1	RCB	164529	69
43	3	1	LCB	212772	72
43	4	1	LB	44960	70
43	5	1	RM	209453	64
43	6	1	RCM	184285	72
43	7	1	CM	156112	73
43	8	1	LCM	177022	74
43	9	1	LM	209608	72
43	10	1	ST	198243	74
43	11	0	GK	204813	69
43	12	0	LM	184895	71
43	13	0	CB	189295	64
43	14	0	LM	213000	64
43	16	0	ST	213355	64
43	17	0	ST	216172	64
44	0	1	GK	146797	78
44	1	1	RCB	197391	73
44	2	1	CB	167306	73
44	3	1	LCB	173208	81
44	4	1	RM	198264	68
44	5	1	RCM	20096	74
44	6	1	LCM	105318	78
44	7	1	LM	158351	77
44	8	1	CAM	192086	80
44	9	1	RS	204838	73
44	10	1	LS	187607	78
44	12	0	LB	199283	64
44	13	0	CM	178284	64
44	14	0	CAM	199302	71
44	15	0	ST	212933	64
44	16	0	ST	201038	64
44	17	0	ST	192067	71
45	0	1	GK	200726	71
45	1	1	RCB	202201	73
45	2	1	CB	192333	77
45	3	1	LCB	158394	71
45	4	1	RM	168290	72
45	5	1	RCM	169805	73
45	6	1	LCM	159157	70
45	7	1	LM	147445	81
45	8	1	CAM	172143	74
45	9	1	RS	110376	79
45	10	1	LS	189250	80
45	11	0	GK	138026	64
45	12	0	CB	180357	64
45	13	0	CB	198279	64
45	14	0	LM	209620	71
45	15	0	ST	207491	64
45	16	0	ST	168317	72
45	17	0	ST	169435	71
46	0	1	GK	49000	74
46	1	1	RCB	202335	74
46	2	1	CB	188177	77
46	3	1	LCB	186130	73
46	4	1	RM	178251	74
46	5	1	RCM	162895	89
46	6	1	LCM	184484	80
46	7	1	LM	183870	79
46	8	1	CAM	177326	85
46	9	1	RS	196143	77
46	10	1	LS	184252	78
46	11	0	GK	166937	64
46	12	0	RM	213114	71
46	13	0	LM	191657	64
46	14	0	RM	179660	69
46	15	0	ST	158525	74
46	16	0	LW	202556	80
46	17	0	ST	197981	70
47	0	1	GK	188943	81
47	1	1	RB	178372	81
47	2	1	RCB	188829	83
47	3	1	LCB	2492	78
47	4	1	LB	189332	83
47	5	1	RCM	170368	82
47	6	1	CM	207742	74
47	7	1	LCM	199561	80
47	8	1	RF	1625	81
47	9	1	LF	137494	79
47	10	1	ST	181820	85
47	11	0	GK	111661	77
47	12	0	RB	198599	73
47	13	0	LM	207614	72
47	14	0	RW	192362	78
47	15	0	RM	202857	73
47	16	0	ST	202968	71
47	17	0	ST	207562	64
48	0	1	GK	162835	86
48	1	1	RB	199915	69
48	2	1	RCB	169596	80
48	3	1	LCB	141200	80
48	4	1	LB	53405	80
48	5	1	RCM	178518	81
48	6	1	CM	177358	79
48	7	1	LCM	177388	82
48	8	1	RF	120274	88
48	9	1	LF	179844	87
48	10	1	ST	196144	84
48	11	0	GK	200698	71
48	12	0	CDM	186296	78
48	13	0	LM	172290	74
48	14	0	CAM	3665	77
48	15	0	CAM	152092	69
48	16	0	ST	200318	70
48	17	0	RW	178521	69
49	0	1	GK	167948	85
49	1	1	RCB	134956	81
49	2	1	CB	184344	81
49	3	1	LCB	185103	80
49	4	1	RM	183898	89
49	5	1	RCM	155885	80
49	6	1	LCM	170815	79
49	7	1	LM	7743	81
49	8	1	CAM	189596	90
49	9	1	RS	186146	80
49	10	1	LS	188545	89
49	11	0	GK	189296	72
49	12	0	LB	50908	71
49	14	0	CAM	183682	71
49	15	0	ST	202911	74
49	16	0	ST	186839	73
49	17	0	ST	3467	73
