resourceId	name	rating	nation	league
1000636	Fernando Manuel F. da Costa Santos	78	38	308
1000637	Paulo Jorge Gomes Bento	85	38	308
1000639	Gordon Strachan	78	42	50
1000642	Michael O'Neill	74	35	13
1000643	Massimiliano Allegri	83	27	31
1000644	Francesco Guidolin	80	27	31
1000645	Giuseppe Sannino	78	27	31
1000646	Andrea Mandorlini	75	27	31
1000647	Vincenzo Montella	84	27	31
1000650	Michel Decastel	69	47	189
1000651	Guillermo Vazquez	73	83	341
1000655	Jose Saturnino Cardozo	72	58	13
1000656	Ricardo Antonio Ferretti Oliveira	75	54	7
1000657	Omar Asad	72	52	353
1000658	Wilson Graniolatti	71	60	13
1000660	Juan Antonio Luna	69	83	341
1000661	Gabriel Caballero	72	83	341
1000662	Ignacio Ambriz	71	83	341
1000663	Manuel Lapuente	71	83	341
1000664	Pavel Hapal	64	12	13
1000665	Jorge Almiron	72	52	353
1000666	Sergio Bueno	70	83	341
1000667	Per Joar Hansen	71	36	41
1000668	Magnus Haglund	67	46	56
1000669	Kjell Jonevret	69	46	56
1000670	Ole Gunnar Solskjaer	72	36	41
1000672	Dwight Lodeweges	63	34	10
1000673	Kjetil Rekdal	70	36	41
1000677	Ally McCoist	60	42	50
1000681	Brian Deane	64	14	13
1000686	Carlos Bernegger	63	52	353
1000687	Jan Urban	71	37	66
1000688	Franciszek Smuda	67	37	66
1000699	Jose Albano Ferreira da Mota	70	38	308
1000700	Nuno Herlander Espirito Santo	73	38	308
1000701	Rui Carlos Pinho da Vitoria	71	38	308
1000702	Manuel Machado	72	38	308
1000703	Michael Angerschmid	62	4	80
1000704	Manuel Jesualdo Ferreira	78	38	308
1000705	Sergio Paulo da Conceicao	72	38	308
1000708	Trevor Croly	63	25	65
1000710	Liam Buckley	62	25	65
1000712	Ian Baraclough	63	14	13
1000714	Stephen Kenny	60	25	65
1000716	Mick Cooke	60	25	65
1000718	Stuart Taylor	60	42	50
1000719	Fatih Terim	82	48	68
1000720	Dan Petrescu	77	39	13
1000721	Leonid Slutskiy	80	40	67
1000725	Valeriy Karpin	80	40	67
1000726	Luciano Spalletti	82	27	31
1000729	Kurban Berdyev	77	40	67
1000732	Stanislav Cherchesov	70	40	67
1000734	Yuriy Kalitvintsev	69	49	332
1000737	Derek McInnes	68	42	50
1000738	Neil Lennon	75	35	13
1000739	Gary Locke	64	42	50
1000740	Pat Fenlon	67	25	65
1000741	Allan Johnston	66	42	50
1000742	Stuart McCall	67	42	50
1000743	Jackie McNamara	67	42	50
1000744	Terry Butcher	65	14	13
1000745	Derek Adams	66	42	50
1000746	Alan Archibald	65	42	50
1000747	Tommy Wright	66	35	13
1000748	Danny Lennon	67	42	50
1000749	Stuart Baxter	72	14	13
1000751	Mikael Stahre	69	46	56
1000752	Rikard Norling	70	46	56
1000754	Adolf Hütter	58	4	80
1000755	Andreas Alm	70	46	56
1000756	Jorgen Lennartsson	71	46	56
1000758	Per-Mathias Hogmo	67	36	41
1000759	Peter Gerhardsson	69	46	56
1000760	Nanne Bergstrand	67	46	56
1000767	Michael Skibbe	70	21	19
1000770	Murat Yakin	74	47	189
1000771	Emiliano Astorga	54	55	335
1000772	Alberto Gamero	54	56	336
1000775	Laurent Roussey	64	18	16
