type	assetId	name	resourceId	rating	rare	category	teamid
kit	14	Atlético de Madrid	6300027	85	1	2	240
kit	14	Atlético de Madrid	6300028	85	0	2	240
kit	14	Arsenal	6300029	84	1	2	1
kit	14	Arsenal	6300030	84	0	2	1
kit	14	Arsenal	6300031	84	1	5	1
kit	14	Inter	6300032	84	1	2	44
kit	14	Inter	6300033	84	0	2	44
kit	14	Inter	6300034	84	1	5	44
kit	14	Napoli	6300035	84	1	2	48
kit	14	Napoli	6300036	84	1	5	48
kit	14	Fiorentina	6300037	84	1	2	110374
kit	14	Fiorentina	6300038	84	0	2	110374
kit	14	Fiorentina	6300039	84	1	5	110374
kit	14	Liverpool	6300040	83	1	2	9
kit	14	Liverpool	6300041	83	1	5	9
kit	14	Lazio	6300042	83	1	2	46
kit	14	Lazio	6300043	83	1	5	46
kit	14	Milan	6300044	83	1	2	47
kit	14	Milan	6300045	83	0	2	47
kit	14	Milan	6300046	83	1	5	47
kit	14	Roma	6300047	83	1	2	52
kit	14	Roma	6300048	83	0	2	52
kit	14	FC Porto 	6300049	83	1	2	236
kit	14	FC Porto 	6300050	83	1	5	236
kit	14	Valencia CF	6300051	83	1	2	461
kit	14	Valencia CF	6300052	83	0	2	461
kit	14	Valencia CF	6300053	83	1	5	461
kit	14	Newcastle United	6300054	82	1	2	13
kit	14	Newcastle United	6300055	82	0	2	13
kit	14	Newcastle United	6300056	82	1	5	13
kit	14	FC Schalke 04	6300057	82	1	2	34
kit	14	FC Schalke 04	6300058	82	0	2	34
kit	14	FC Schalke 04	6300059	82	1	5	34
kit	14	Fulham	6300060	82	1	2	144
kit	14	Fulham	6300061	82	1	5	144
kit	14	VfL Wolfsburg	6300062	82	1	2	175
kit	14	VfL Wolfsburg	6300063	82	0	2	175
kit	14	VfL Wolfsburg	6300064	82	1	5	175
kit	14	SL Benfica	6300065	82	1	2	234
kit	14	Galatasaray SK	6300066	82	1	2	325
kit	14	Galatasaray SK	6300067	82	1	5	325
kit	14	Zenit St. Petersburg	6300068	82	1	2	100769
kit	14	Everton	6300069	81	1	2	7
kit	14	Everton	6300070	81	0	2	7
kit	14	Everton	6300071	81	1	5	7
kit	14	Bayer 04 Leverkusen	6300072	81	1	2	32
kit	14	Bayer 04 Leverkusen	6300073	81	0	2	32
kit	14	Bayer 04 Leverkusen	6300074	81	1	5	32
kit	14	AS Monaco	6300075	81	1	2	69
kit	14	AS Monaco	6300076	81	1	5	69
kit	14	Olympique de Marseille	6300077	81	1	2	219
kit	14	Olympique de Marseille	6300078	81	0	2	219
kit	14	Olympique de Marseille	6300079	81	1	5	219
kit	14	Athletic Club de Bilbao	6300080	81	1	2	448
kit	14	Real Sociedad	6300081	81	1	2	457
kit	14	Sevilla FC	6300082	81	1	2	481
kit	14	Sevilla FC	6300083	81	1	5	481
kit	14	Swansea City	6300084	81	1	2	1960
kit	14	Borussia M'gladbach	6300085	80	1	2	23
kit	14	Borussia M'gladbach	6300086	80	0	2	23
kit	14	Borussia M'gladbach	6300087	80	1	5	23
kit	14	Hamburger SV	6300088	80	1	2	28
kit	14	Hamburger SV	6300089	80	0	2	28
kit	14	Hamburger SV	6300090	80	1	5	28
kit	14	VfB Stuttgart	6300091	80	1	2	36
kit	14	VfB Stuttgart	6300092	80	0	2	36
kit	14	VfB Stuttgart	6300093	80	1	5	36
kit	14	Atalanta	6300094	80	1	2	39
kit	14	Atalanta	6300095	80	1	5	39
kit	14	Udinese	6300096	80	1	2	55
kit	14	Udinese	6300097	80	1	5	55
kit	14	Olympique Lyonnais	6300098	80	1	2	66
kit	14	Olympique Lyonnais	6300099	80	0	2	66
kit	14	Olympique Lyonnais	6300100	80	1	5	66
kit	14	CSKA Moskva	6300101	80	1	2	315
kit	14	Málaga CF	6300102	80	1	2	573
kit	14	Málaga CF	6300103	80	1	5	573
kit	14	Atlético Mineiro	6300104	80	1	2	1035
kit	14	Stoke City	6300105	80	1	2	1806
kit	14	Stoke City	6300106	80	0	2	1806
kit	14	Spartak Moskva	6300107	80	1	2	100767
kit	14	Spartak Moskva	6300108	80	1	5	100767
kit	14	Shakhtar Donetsk	6300109	80	1	2	101059
kit	14	Southampton	6300110	79	0	2	17
kit	14	West Ham United	6300111	79	0	2	19
kit	14	West Ham United	6300112	79	0	5	19
kit	14	Parma	6300113	79	0	2	50
kit	14	Parma	6300114	79	0	5	50
kit	14	LOSC Lille	6300115	79	0	2	65
kit	14	LOSC Lille	6300116	79	0	2	65
kit	14	LOSC Lille	6300117	79	0	5	65
kit	14	Sunderland	6300118	79	0	2	106
kit	14	West Bromwich Albion	6300119	79	0	2	109
kit	14	West Bromwich Albion	6300120	79	0	2	109
kit	14	West Bromwich Albion	6300121	79	0	5	109
kit	14	Sporting CP	6300122	79	0	2	237
kit	14	Sporting CP	6300123	79	0	5	237
kit	14	Ajax	6300124	79	0	2	245
kit	14	PSV	6300125	79	0	2	247
kit	14	Olympiacos CFP	6300126	79	0	2	280
kit	14	Olympiacos CFP	6300127	79	0	5	280
kit	14	Dinamo Moskva	6300128	79	0	2	312
kit	14	Real Betis Balompié	6300129	79	0	2	449
kit	14	Real Betis Balompié	6300130	79	0	5	449
kit	14	Hannover 96	6300131	79	0	2	485
kit	14	Hannover 96	6300132	79	0	2	485
kit	14	Hannover 96	6300133	79	0	5	485
kit	14	Cruzeiro	6300134	79	0	2	568
kit	14	São Paulo	6300135	79	0	2	598
kit	14	Corinthians	6300136	79	0	2	1041
kit	14	Internacional	6300137	79	0	2	1048
kit	14	Grêmio	6300138	79	0	2	1629
kit	14	AS Saint-Etienne	6300139	79	0	2	1819
kit	14	Eintracht Frankfurt	6300140	79	0	2	1824
kit	14	Eintracht Frankfurt	6300141	79	0	2	1824
kit	14	Eintracht Frankfurt	6300142	79	0	5	1824
kit	14	Cagliari	6300143	79	0	2	1842
kit	14	Cagliari	6300144	79	0	5	1842
kit	14	Braga	6300145	79	0	2	1896
kit	14	Braga	6300146	79	0	5	1896
kit	14	1899 Hoffenheim	6300147	79	0	2	10029
kit	14	1899 Hoffenheim	6300148	79	0	2	10029
kit	14	1899 Hoffenheim	6300149	79	0	5	10029
kit	14	Anzhi Makhachkala	6300150	79	0	2	100766
kit	14	Catania	6300151	79	0	2	110364
kit	14	Genoa	6300152	79	0	2	110556
kit	14	Aston Villa	6300153	78	0	2	2
kit	14	Aston Villa	6300154	78	0	2	2
kit	14	Aston Villa	6300155	78	0	5	2
kit	14	Queens Park Rangers	6300156	78	0	2	15
kit	14	Queens Park Rangers	6300157	78	0	5	15
kit	14	Werder Bremen	6300158	78	0	2	38
kit	14	Werder Bremen	6300159	78	0	2	38
kit	14	Werder Bremen	6300160	78	0	5	38
kit	14	Girondins de Bordeaux	6300161	78	0	2	59
kit	14	Girondins de Bordeaux	6300162	78	0	2	59
kit	14	Girondins de Bordeaux	6300163	78	0	5	59
kit	14	Montpellier HSC	6300164	78	0	2	70
kit	14	Stade Rennais	6300165	78	0	2	74
kit	14	Stade Rennais	6300166	78	0	5	74
kit	14	Bologna	6300167	78	0	2	189
kit	14	Bologna	6300168	78	0	5	189
kit	14	RCD Espanyol	6300169	78	0	2	452
kit	14	RCD Espanyol	6300170	78	0	5	452
kit	14	Botafogo	6300171	78	0	2	517
kit	14	Fluminense	6300172	78	0	2	567
kit	14	Flamengo	6300173	78	0	2	1043
kit	14	Norwich City	6300174	78	0	2	1792
kit	14	Getafe CF	6300175	78	0	2	1860
kit	14	Getafe CF	6300176	78	0	5	1860
kit	14	Lokomotiv Moskva	6300177	78	0	2	100765
kit	14	Rubin Kazan	6300178	78	0	2	110227
kit	14	Newell's Old Boys	6300179	78	0	2	110396
kit	14	SC Freiburg	6300180	77	0	2	25
kit	14	SC Freiburg	6300181	77	0	2	25
kit	14	SC Freiburg	6300182	77	0	5	25
kit	14	Torino	6300183	77	0	2	54
kit	14	Torino	6300184	77	0	5	54
kit	14	Hertha BSC	6300185	77	0	2	166
kit	14	Hertha BSC	6300186	77	0	2	166
kit	14	Hertha BSC	6300187	77	0	5	166
kit	14	1. FSV Mainz 05	6300188	77	0	2	169
kit	14	1. FSV Mainz 05	6300189	77	0	2	169
kit	14	1. FSV Mainz 05	6300190	77	0	5	169
kit	14	1. FC Nürnberg	6300191	77	0	2	171
kit	14	1. FC Nürnberg	6300192	77	0	2	171
kit	14	1. FC Nürnberg	6300193	77	0	5	171
kit	14	Chievo Verona	6300194	77	0	2	192
kit	14	Feyenoord	6300195	77	0	2	246
kit	14	Feyenoord	6300196	77	0	5	246
kit	14	Palmeiras	6300197	77	0	2	383
kit	14	PAOK FC	6300198	77	0	2	393
kit	14	RC Celta de Vigo	6300199	77	0	2	450
kit	14	RC Celta de Vigo	6300200	77	0	5	450
kit	14	Real Valladolid	6300201	77	0	2	462
kit	14	Real Valladolid	6300202	77	0	5	462
kit	14	Elche CF	6300203	77	0	2	468
kit	14	CA Osasuna	6300204	77	0	2	479
kit	14	Rayo Vallecano	6300205	77	0	2	480
kit	14	Rayo Vallecano	6300206	77	0	5	480
kit	14	Villarreal CF	6300207	77	0	2	483
kit	14	Vasco da Gama	6300208	77	0	2	569
kit	14	Palermo	6300209	77	0	2	1843
kit	14	Levante UD	6300210	77	0	2	1853
kit	14	Levante UD	6300211	77	0	5	1853
kit	14	Boca Juniors	6300212	77	0	2	1877
kit	14	Wigan Athletic	6300213	77	0	2	1917
kit	14	Vélez Sarsfield	6300214	77	0	2	101088
kit	14	Granada CF	6300215	77	0	2	110832
kit	14	Granada CF	6300216	77	0	5	110832
kit	14	OGC Nice	6300217	76	0	2	72
kit	14	OGC Nice	6300218	76	0	5	72
kit	14	Celtic	6300219	76	0	2	78
kit	14	Celtic	6300220	76	0	5	78
kit	14	Hellas Verona	6300221	76	0	2	206
kit	14	Hellas Verona	6300222	76	0	5	206
kit	14	FC Lorient	6300223	76	0	2	217
kit	14	FC Lorient	6300224	76	0	5	217
kit	14	Anderlecht	6300225	76	0	2	229
kit	14	Standard Liège	6300226	76	0	2	232
kit	14	Santos	6300227	76	0	2	1053
kit	14	Reading	6300228	76	0	2	1793
kit	14	Toulouse FC	6300229	76	0	2	1809
kit	14	Toulouse FC	6300230	76	0	5	1809
kit	14	Sampdoria	6300231	76	0	2	1837
kit	14	Sampdoria	6300232	76	0	5	1837
kit	14	Hull City	6300233	76	0	2	1952
kit	14	Cardiff City	6300234	76	0	2	1961
kit	14	Cardiff City	6300235	76	0	5	1961
kit	14	Tigres U.A.N.L.	6300236	76	0	2	1970
kit	14	FC Augsburg	6300237	76	0	2	100409
kit	14	FC Augsburg	6300238	76	0	2	100409
kit	14	FC Augsburg	6300239	76	0	5	100409
kit	14	Coritiba	6300240	76	0	2	111044
kit	14	Bolton Wanderers	6300241	75	0	2	4
kit	14	1. FC Kaiserslautern	6300242	75	0	2	29
kit	14	FC Sochaux	6300243	75	0	2	226
kit	14	FC Sochaux	6300244	75	0	5	226
kit	14	Club Brugge	6300245	75	0	2	231
kit	14	RCD Mallorca	6300246	75	0	2	453
kit	14	Al Hilal (Riyadh)	6300247	75	0	2	605
kit	14	RC Genk	6300248	75	0	2	673
kit	14	FC København	6300249	75	0	2	819
kit	14	Monterrey	6300250	75	0	2	1032
kit	14	Crystal Palace	6300251	75	0	2	1799
kit	14	Brighton & Hove Albion	6300252	75	0	2	1808
kit	14	UD Almería	6300253	75	0	2	1861
kit	14	América	6300254	75	0	2	1879
kit	14	AZ	6300255	75	0	2	1906
kit	14	AZ	6300256	75	0	5	1906
kit	14	FC Twente	6300257	75	0	2	1908
kit	14	Vitesse	6300258	75	0	2	1909
kit	14	Estudiantes de La Plata	6300259	75	0	2	101083
kit	14	Racing Club de Avellaneda	6300260	75	0	2	101085
kit	14	Kuban Krasnodar	6300261	75	0	2	110089
kit	14	Portuguesa	6300262	75	0	2	111292
kit	14	Nottingham Forest	6300263	74	1	2	14
kit	14	1. FC Köln	6300264	74	1	2	31
kit	14	SC Bastia	6300265	74	1	2	58
kit	14	Pescara	6300266	74	1	2	200
kit	14	Pescara	6300267	74	1	5	200
kit	14	Real Zaragoza	6300268	74	1	2	244
kit	14	Stade de Reims	6300269	74	1	2	379
kit	14	Stade de Reims	6300270	74	1	5	379
kit	14	FC Basel	6300271	74	1	2	896
kit	14	San Lorenzo de Almagro	6300272	74	1	2	1013
kit	14	Monarcas Morelia	6300273	74	1	2	1028
kit	14	Atlético Paranaense	6300274	74	1	2	1039
kit	14	Bahia	6300275	74	1	2	1598
kit	14	Vitória	6300276	74	1	2	1719
kit	14	Watford 	6300277	74	1	2	1795
kit	14	Siena	6300278	74	1	2	1838
kit	14	River Plate	6300279	74	1	2	1876
kit	14	River Plate	6300280	74	1	5	1876
kit	14	Cruz Azul	6300281	74	1	2	1878
kit	14	Panathinaikos FC	6300282	74	1	2	1884
kit	14	Atlético Nacional	6300283	74	1	2	101100
kit	14	Santos Laguna	6300284	74	1	2	110144
kit	14	Club Atlético Colón	6300285	74	1	2	110406
kit	14	Valenciennes FC	6300286	74	1	2	110456
kit	14	Valenciennes FC	6300287	74	1	5	110456
kit	14	Eintracht Braunschweig	6300288	74	1	2	110500
kit	14	Eintracht Braunschweig	6300289	74	0	2	110500
kit	14	Eintracht Braunschweig	6300290	74	1	5	110500
kit	14	Fortuna Düsseldorf	6300291	74	1	2	110636
kit	14	Fortuna Düsseldorf	6300292	74	1	5	110636
kit	14	Orlando Pirates	6300293	74	1	2	110930
kit	14	Goiás	6300294	74	1	2	111042
kit	14	Criciúma	6300295	74	1	2	111046
kit	14	Náutico	6300296	74	1	2	111050
kit	14	Seattle Sounders	6300297	74	1	2	111144
kit	14	Seattle Sounders	6300298	74	1	5	111144
kit	14	Évian Thonon Gaillard FC	6300299	74	1	2	111271
kit	14	FC Krasnodar	6300300	74	1	2	112218
kit	14	Blackburn Rovers	6300301	73	1	2	3
kit	14	Blackburn Rovers	6300302	73	0	2	3
kit	14	Leeds United	6300303	73	1	2	8
kit	14	Leeds United	6300304	73	1	5	8
kit	14	Middlesbrough	6300305	73	1	2	12
kit	14	FC Nantes	6300306	73	1	2	71
kit	14	Derby County	6300307	73	1	2	91
kit	14	Derby County	6300308	73	0	2	91
kit	14	Leicester City	6300309	73	1	2	95
kit	14	Millwall	6300310	73	1	2	97
kit	14	Millwall	6300311	73	1	5	97
kit	14	Wolverhampton Wanderers	6300312	73	1	2	110
kit	14	Wolverhampton Wanderers	6300313	73	0	2	110
kit	14	Red Bull Salzburg	6300314	73	1	2	191
kit	14	RC Deportivo	6300315	73	1	2	242
kit	14	RC Deportivo	6300316	73	1	5	242
kit	14	AC Ajaccio	6300317	73	1	2	614
kit	14	AC Ajaccio	6300318	73	1	5	614
kit	14	AA Gent	6300319	73	1	2	674
kit	14	Rio Ave	6300320	73	1	2	744
kit	14	Livorno	6300321	73	1	2	1844
kit	14	Guadalajara	6300322	73	1	2	1880
kit	14	Guadalajara	6300323	73	1	5	1880
kit	14	Toluca	6300324	73	1	2	1882
kit	14	Paços de Ferreira	6300325	73	1	2	1892
kit	14	FC Utrecht	6300326	73	1	2	1903
kit	14	SC Heerenveen	6300327	73	1	2	1913
kit	14	Lokeren	6300328	73	1	2	2007
kit	14	SV Zulte-Waregem	6300329	73	1	2	15005
kit	14	Universidad de Chile	6300330	73	1	2	15029
kit	14	Pachuca	6300331	73	1	2	110147
kit	14	Lanús	6300332	73	1	2	110395
kit	14	León	6300333	73	1	2	110781
kit	14	Kaizer Chiefs	6300334	73	1	2	110929
kit	14	Ponte Preta	6300335	73	1	2	111043
kit	14	Montreal Impact	6300336	73	1	2	111139
kit	14	Montreal Impact	6300337	73	1	5	111139
kit	14	Tijuana	6300338	73	1	2	111678
kit	14	Sassuolo	6300339	73	1	2	111974
kit	14	TSV 1860 München	6300340	72	1	2	33
kit	14	En Avant Guingamp	6300341	72	1	2	62
kit	14	Birmingham City	6300342	72	1	2	88
kit	14	Energie Cottbus	6300343	72	1	2	162
kit	14	SpVgg Greuther Fürth	6300344	72	1	2	165
kit	14	Austria Wien	6300345	72	1	2	256
kit	14	Rosenborg BK	6300346	72	1	2	298
kit	14	Stade Brestois	6300347	72	1	2	378
kit	14	Molde FK	6300348	72	1	2	417
kit	14	Real Sporting de Gijón	6300349	72	1	2	459
kit	14	UD Las Palmas	6300350	72	1	2	472
kit	14	New York Red Bulls	6300351	72	1	2	689
kit	14	Sporting KC	6300352	72	1	2	696
kit	14	Sporting KC	6300353	72	1	5	696
kit	14	Los Angeles Galaxy	6300354	72	1	2	697
kit	14	Los Angeles Galaxy	6300355	72	1	5	697
kit	14	FC Seoul	6300356	72	1	2	982
kit	14	1. FC Union Berlin	6300357	72	1	2	1831
kit	14	Legia Warszawa	6300358	72	1	2	1871
kit	14	U.N.A.M.	6300359	72	0	2	1881
kit	14	Nacional	6300360	72	0	2	1891
kit	14	Marítimo	6300361	72	0	2	1893
kit	14	Académica	6300362	72	0	2	1901
kit	14	Blackpool	6300363	72	0	2	1926
kit	14	Estoril	6300364	72	0	2	10020
kit	14	Deportivo Cali	6300365	72	0	2	101102
kit	14	Independiente Santa Fe	6300366	72	0	2	101104
kit	14	Atlas	6300367	72	0	2	101114
kit	14	Atlante	6300368	72	0	2	101116
kit	14	Girona FC	6300369	72	0	2	110062
kit	14	Terek Grozny	6300370	72	0	2	110109
kit	14	Puebla	6300371	72	0	2	110152
kit	14	FC Rostov	6300372	72	0	2	110231
kit	14	FC St. Pauli	6300373	72	0	2	110329
kit	14	Arsenal de Sarandi	6300374	72	0	2	110394
kit	14	FC Ingolstadt 04	6300375	72	0	2	111239
kit	14	Al Shabab (Riyadh)	6300376	72	0	2	111674
kit	14	Club Atlético Tigre	6300377	72	0	2	111715
kit	14	Deportes Tolima	6300378	72	0	2	111722
kit	14	Al Ahli (Jeddah)	6300379	72	0	2	112387
kit	14	AJ Auxerre	6300380	71	0	2	57
kit	14	Ipswich Town	6300381	71	0	2	94
kit	14	VfL Bochum	6300382	71	0	2	160
kit	14	Brescia	6300383	71	0	2	190
kit	14	ES Troyes AC	6300384	71	0	2	294
kit	14	Malmö FF	6300385	71	0	2	320
kit	14	Grasshopper Club Zürich	6300386	71	0	2	322
kit	14	Helsingborgs IF	6300387	71	0	2	432
kit	14	RC Recreativo	6300388	71	0	2	571
kit	14	ADO Den Haag	6300389	71	0	2	650
kit	14	Vitória Setúbal	6300390	71	0	2	665
kit	14	Chicago Fire	6300391	71	0	2	693
kit	14	FC Dallas	6300392	71	0	2	695
kit	14	IF Elfsborg	6300393	71	0	2	700
kit	14	Lech Poznań	6300394	71	0	2	873
kit	14	BSC Young Boys	6300395	71	0	2	900
kit	14	Strømsgodset Toppfotball	6300396	71	0	2	922
kit	14	Suwon Samsung Bluewings	6300397	71	0	2	983
kit	14	Jeonbuk Hyundai Motors	6300398	71	0	2	1477
kit	14	Sheffield Wednesday	6300399	71	0	2	1807
kit	14	AS Nancy	6300400	71	0	2	1823
kit	14	Vitória Guimarães	6300401	71	0	2	1887
kit	14	Roda JC Kerkrade	6300402	71	0	2	1902
kit	14	FC Groningen	6300403	71	0	2	1915
kit	14	Huddersfield Town	6300404	71	0	2	1939
kit	14	SD Ponferradina	6300405	71	0	2	2023
kit	14	Heracles Almelo	6300406	71	0	2	100634
kit	14	Krylya Sovetov Samara	6300407	71	0	2	100764
kit	14	AD Alcorcón	6300408	71	0	2	100831
kit	14	Hércules CF	6300409	71	0	2	100879
kit	14	Junior Barranquilla	6300410	71	0	2	101101
kit	14	Querétaro	6300411	71	0	2	110150
kit	14	Rosario Central	6300412	71	0	2	110580
kit	14	Spezia	6300413	71	0	2	110741
kit	14	Padova	6300414	71	0	2	110912
kit	14	Cesena	6300415	71	0	2	110915
kit	14	Universidad Católica	6300416	71	0	2	110975
kit	14	Belgrano de Córdoba	6300417	71	0	2	111022
kit	14	Real Salt Lake	6300418	71	0	2	111065
kit	14	Godoy Cruz	6300419	71	0	2	111706
kit	14	All Boys	6300420	71	0	2	111717
kit	14	San Jose Earthquakes	6300421	71	0	2	111928
kit	14	San Jose Earthquakes	6300422	71	0	5	111928
kit	14	Al Nassr (Riyadh)	6300423	71	0	2	112139
kit	14	Arouca	6300424	71	0	2	112513
kit	14	Chiapas FC	6300425	71	0	2	112679
kit	14	Racing Club de Lens	6300426	70	0	2	64
kit	14	Doncaster Rovers	6300427	70	0	2	142
kit	14	Reggina	6300428	70	0	2	203
kit	14	Sturm Graz	6300429	70	0	2	209
kit	14	SM Caen	6300430	70	0	2	210
