id	team	nation	pos	rating	potential	pace	shooting	passing	dribbling	defending	physical	rare	strength	ballcontrol	shotpower	skillmoves	fkaccuracy
160774	567	54	ST	82	79	64	80	69	76	49	82	1	83	79	80	2	67
161956	110374	45	CM	82	84	69	75	86	81	70	59	1	66	88	80	2	76
162131	45	45	ST	82	82	62	76	58	71	53	87	1	90	81	82	1	41
164169	240	54	LB	82	82	83	63	78	79	81	67	1	74	85	71	2	75
167628	1819	18	GK	82	84	83	80	78	85	55	81	1	76	26	21	0	25
167943	13	18	CM	82	82	68	76	82	78	73	69	1	66	83	80	2	83
169416	457	83	RW	82	87	86	76	73	86	46	64	1	69	85	68	3	67
170481	234	52	CB	82	85	53	58	71	65	84	81	1	83	73	76	1	74
170797	22	48	CM	82	84	56	73	85	82	70	51	1	61	86	72	2	83
172871	18	7	CB	82	84	72	67	74	73	81	82	1	82	78	86	2	73
173221	46	27	RW	82	85	84	77	82	84	66	60	1	70	86	90	3	80
177326	219	18	CAM	82	80	84	73	82	83	42	48	0	32	83	72	3	75
177509	52	129	CB	82	87	73	36	60	63	84	80	1	86	72	62	1	28
177600	448	45	CM	82	84	67	78	84	76	74	56	1	68	78	88	1	85
178224	11	83	ST	82	83	88	76	62	75	44	77	1	56	78	76	2	52
179784	34	21	CB	82	84	65	47	68	64	83	82	1	81	72	62	1	52
179944	5	54	CB	82	83	77	67	74	72	79	80	1	77	79	73	2	75
182494	325	60	GK	82	86	78	80	79	87	63	81	1	64	35	25	0	25
183280	461	18	CB	82	84	54	56	65	58	81	84	1	88	62	86	1	61
183284	325	103	CB	82	81	69	60	68	57	83	85	1	86	67	75	1	61
183556	22	51	CB	82	84	72	59	64	53	80	82	1	84	64	83	1	64
184941	241	55	RW	82	88	87	75	74	85	53	63	1	69	84	77	3	70
188152	5	54	CAM	82	87	81	72	78	85	41	51	1	31	86	76	3	70
189332	241	45	LB	82	85	92	68	76	82	79	68	1	67	81	64	2	64
189461	1	14	CM	82	86	79	68	83	85	72	63	1	69	85	75	2	72
190460	18	13	LM	82	88	83	74	83	84	55	52	1	47	86	78	3	84
193080	11	45	GK	82	87	86	73	86	88	51	75	1	64	31	31	0	25
200949	73	54	RW	82	90	92	77	78	88	53	54	1	45	84	77	3	68
3813	58	18	GK	81	81	80	78	84	84	32	78	1	78	84	78	4	84
4667	52	27	GK	81	80	82	80	62	81	34	84	1	62	25	42	0	25
5471	5	14	CM	81	80	60	85	84	78	69	71	1	76	82	89	2	79
7631	50	27	CF	81	81	54	80	88	87	45	60	1	74	92	75	2	80
16254	7	95	GK	81	81	83	77	77	83	50	80	0	71	25	25	0	25
25420	21	59	ST	81	79	64	80	65	81	48	78	1	76	81	78	2	73
41635	47	18	CB	81	78	69	46	62	62	80	82	1	84	72	68	1	44
45674	5	117	CDM	81	76	65	74	78	75	81	76	1	82	78	84	2	58
48745	13	52	CB	81	80	67	55	70	69	80	80	1	79	73	59	1	55
50542	18	14	ST	81	80	83	83	56	78	42	68	1	62	76	87	2	67
116494	59	18	GK	81	80	79	79	80	84	38	82	1	71	22	27	0	25
124375	325	48	ST	81	77	84	77	72	76	59	79	0	81	70	79	2	77
135460	111044	54	CAM	81	80	46	80	84	82	45	65	1	65	86	80	3	86
135507	10	54	CM	81	83	83	76	83	81	70	54	0	65	84	81	2	71
136130	73	54	CB	81	83	55	65	57	57	79	86	1	93	64	91	1	76
137262	32	21	ST	81	81	67	79	70	69	58	83	1	79	74	83	2	49
137677	1960	34	GK	81	81	83	74	76	84	60	82	1	63	34	22	0	25
138412	10	14	RM	81	80	70	77	84	79	73	70	1	78	78	86	2	75
138726	10	14	CB	81	79	53	51	65	59	82	85	1	85	60	65	1	51
139094	236	54	GK	81	80	83	78	76	85	64	80	1	62	36	39	0	25
146482	457	45	CAM	81	80	66	73	86	81	49	66	1	62	85	74	2	72
150656	65	18	CDM	81	81	66	53	78	73	79	72	0	72	79	68	1	62
152554	10	18	LB	81	80	88	44	75	78	79	70	1	66	80	51	1	37
155897	111144	95	CF	81	81	73	81	75	81	53	84	1	74	83	83	3	73
157304	1	7	CB	81	79	71	66	71	63	81	85	1	79	65	83	1	65
159145	66	18	ST	81	78	73	80	60	75	51	78	1	82	76	82	1	61
159261	45	27	ST	81	78	75	84	68	75	44	70	1	78	81	86	1	69
162240	18	7	CM	81	82	81	72	76	86	71	74	1	87	86	84	3	54
162409	110374	27	ST	81	84	80	82	70	82	42	59	1	55	87	80	2	78
164435	100765	129	CAM	81	81	79	73	79	86	48	50	1	32	84	72	4	77
164859	1	14	RM	81	85	96	72	71	80	46	55	1	59	80	76	2	73
165229	1	18	CB	81	82	77	41	67	61	80	80	1	71	67	54	1	49
165580	461	54	GK	81	85	90	72	74	90	55	73	1	67	25	45	0	21
166706	9	43	CB	81	81	61	38	58	52	81	83	1	85	61	46	1	27
168609	240	54	CB	81	82	76	48	58	62	80	83	1	79	64	70	1	39
168651	481	10	CAM	81	84	69	81	86	79	61	53	1	63	85	81	2	84
169051	44	56	CM	81	84	78	82	82	83	76	78	1	87	83	92	3	82
170368	18	52	RW	81	85	80	80	76	88	41	65	1	55	85	79	2	78
170890	73	18	CDM	81	86	78	64	77	74	83	76	1	75	80	74	1	52
171897	461	83	LB	81	79	87	73	78	84	72	64	1	58	82	78	3	76
172723	1806	8	GK	81	84	83	81	74	86	52	78	1	82	24	28	0	25
173909	34	117	CM	81	84	77	80	78	81	75	81	1	84	84	86	2	70
174543	457	55	GK	81	81	84	74	88	85	55	78	1	70	25	32	0	25
176266	9	54	CDM	81	82	70	45	78	72	80	75	1	73	79	71	1	47
176769	461	54	CAM	81	81	76	78	67	84	45	61	0	61	87	79	2	75
176944	11	7	CDM	81	82	71	72	77	76	81	85	1	91	79	76	2	45
176949	144	72	RW	81	78	70	76	76	85	57	67	0	57	84	75	3	73
177134	5	136	ST	81	80	78	80	65	77	58	81	1	87	76	83	2	64
177457	32	21	CM	81	84	70	63	80	73	82	74	1	76	76	74	1	47
177458	22	21	CDM	81	84	66	55	74	65	83	75	1	75	74	75	1	40
178005	237	38	GK	81	84	85	79	82	82	45	79	1	76	25	38	0	25
178393	54	27	CF	81	84	84	77	81	84	52	58	1	77	86	79	3	79
179752	234	58	ST	81	80	52	85	68	70	49	70	1	84	72	90	1	83
183285	9	18	CB	81	85	70	33	67	56	79	81	1	88	66	51	1	30
183907	21	21	CB	81	86	75	50	72	67	79	82	1	88	75	78	2	24
184144	234	52	LM	81	85	83	74	78	86	50	57	1	54	85	75	3	72
184881	461	97	RM	81	87	84	72	77	86	50	58	1	57	85	82	2	70
185221	175	54	CDM	81	83	75	58	76	72	83	77	1	79	77	77	1	51
186581	315	163	RM	81	84	82	81	78	81	67	72	1	72	86	80	2	84
187961	18	54	CM	81	85	77	73	76	78	78	81	1	71	82	76	2	56
188829	219	103	CB	81	85	77	44	72	68	82	76	1	75	75	57	1	27
189509	21	45	CM	81	85	72	70	77	85	58	65	0	60	87	69	2	77
190531	236	18	CB	81	86	77	45	63	63	82	87	1	86	65	77	1	47
190782	18	54	CDM	81	84	73	66	76	75	81	69	1	84	76	79	2	53
190813	47	27	LW	81	88	87	80	73	85	50	57	1	54	88	76	3	71
192620	21	21	CB	81	84	62	55	74	53	82	76	1	81	70	75	1	74
192883	22	3	CAM	81	85	80	78	75	83	62	65	1	70	83	76	3	57
193082	110374	56	RM	81	83	93	66	76	87	62	58	1	64	84	84	4	70
193747	240	45	RM	81	85	75	72	83	81	60	62	1	61	86	80	2	73
196144	236	56	ST	81	85	82	75	67	78	59	86	1	86	79	83	3	34
197445	21	4	LB	81	88	86	70	82	82	77	69	1	65	83	78	2	75
201535	243	18	CB	81	88	70	47	64	61	81	82	1	80	72	52	1	54
241	11	50	CM	80	80	64	76	84	82	52	62	1	62	82	76	4	84
1219	47	27	GK	80	76	84	75	73	84	50	79	1	68	30	38	0	25
4098	240	38	CM	80	80	63	69	78	73	73	76	0	76	84	79	2	68
5809	109	18	ST	80	80	69	79	71	82	45	78	1	78	82	79	4	71
8473	1	12	CAM	80	81	74	73	81	84	47	51	1	61	85	76	2	70
24248	110374	55	CDM	80	76	64	69	87	82	67	51	1	55	86	74	2	78
46815	144	36	CB	80	77	48	44	65	52	83	73	1	90	65	62	1	39
49072	1048	60	ST	80	80	66	84	77	82	43	70	1	74	86	85	2	80
49370	73	27	CDM	80	83	50	72	79	74	77	82	0	86	83	82	2	67
50327	7	140	LM	80	80	73	73	79	85	61	58	0	63	85	76	3	76
51101	55	27	CB	80	75	55	58	59	56	82	80	1	78	55	78	1	70
52797	46	27	CDM	80	78	57	72	83	77	74	62	0	68	82	80	1	80
53050	18	144	ST	80	80	73	76	65	78	47	82	1	84	78	81	3	43
53612	1	21	CB	80	82	34	41	57	39	84	75	1	89	65	71	1	45
53914	7	14	CB	80	80	67	47	68	56	81	82	1	83	65	69	1	31
103935	110374	27	CM	80	79	55	77	84	81	67	61	1	68	84	84	1	76
115533	175	47	GK	80	80	84	75	72	83	42	76	0	76	24	36	0	25
115909	449	45	ST	80	79	83	75	58	81	46	66	0	58	76	75	2	56
119152	9	108	CB	80	79	72	63	61	56	79	81	1	85	62	81	1	72
124607	325	48	CM	80	82	72	78	84	81	71	58	1	76	84	85	2	86
135475	325	54	CDM	80	83	75	75	75	76	80	80	1	88	76	84	2	70
136194	598	54	ST	80	78	68	77	59	75	45	78	0	74	81	81	2	69
137361	47	27	ST	80	78	73	75	61	70	46	84	0	74	76	70	1	42
137832	567	54	GK	80	78	80	80	73	82	29	80	0	71	21	33	0	25
138703	1048	52	CAM	80	80	71	75	82	86	50	50	1	54	86	76	4	80
139997	101059	10	RB	80	80	78	75	84	74	79	64	1	72	80	78	2	86
142750	236	52	CM	80	80	66	78	84	76	71	74	1	74	76	78	3	84
142780	110374	52	CB	80	79	67	50	66	51	81	78	1	78	74	72	1	54
142938	39	52	ST	80	79	67	78	57	72	47	86	1	85	77	83	1	65
146296	479	45	GK	80	80	86	73	69	86	55	75	1	74	27	31	0	25
146954	240	45	CM	80	81	68	74	80	76	72	58	0	68	80	81	1	75
147004	449	45	CAM	80	78	68	72	82	80	55	56	0	59	79	74	2	80
147782	312	40	CDM	80	80	76	67	77	76	78	64	0	62	79	67	2	54
148711	234	54	CB	80	80	39	57	63	59	80	80	0	88	68	78	1	48
150516	1	21	LM	80	77	81	87	69	79	46	67	1	75	80	92	2	75
152747	18	14	RM	80	80	92	63	71	84	43	44	1	52	82	61	2	54
157481	48	45	CB	80	82	52	47	62	58	80	80	0	81	66	65	1	50
158810	48	47	CDM	80	79	68	76	82	74	76	72	1	76	79	89	1	68
163418	18	18	CB	80	79	78	46	61	56	80	83	1	86	65	92	1	32
163419	1	18	RB	80	80	75	57	74	76	80	79	1	76	75	68	2	46
163489	39	27	GK	80	83	82	76	68	86	45	78	1	51	29	34	0	25
163711	100765	18	CDM	80	83	79	52	74	76	80	66	0	82	79	76	1	41
164468	5	14	CB	80	80	73	56	54	61	80	83	1	79	64	63	1	27
166072	55	54	CB	80	75	52	44	62	56	82	79	1	74	55	72	1	43
167431	32	21	CM	80	82	77	67	80	79	76	69	0	65	80	75	2	62
169195	1041	54	CAM	80	80	69	75	80	82	46	64	0	78	80	80	3	74
170664	240	60	LM	80	81	80	75	80	80	64	71	0	81	78	87	2	69
171830	110364	52	CB	80	74	55	41	47	43	83	81	1	86	49	64	1	28
171833	9	14	ST	80	86	90	77	65	83	43	70	1	73	81	83	3	68
171919	175	54	CB	80	80	74	62	61	54	81	78	1	84	68	90	1	75
172175	7	7	RM	80	83	88	75	79	85	53	66	0	65	82	77	3	74
172879	22	22	CB	80	84	77	53	69	64	81	82	1	86	67	65	1	47
173208	100769	27	LB	80	81	82	63	77	75	79	69	0	71	78	71	1	50
173426	9	7	GK	80	83	81	81	72	83	55	80	1	72	23	44	0	25
175943	48	7	CAM	80	82	83	76	75	83	42	40	1	34	87	79	3	82
176571	219	117	LM	80	82	82	72	78	82	66	84	1	73	80	74	2	56
177105	462	21	RM	80	82	80	76	83	80	59	66	0	75	81	86	2	82
177388	219	18	LM	80	82	81	79	77	83	54	62	0	68	81	80	3	78
177413	100769	7	CM	80	85	71	72	78	84	77	77	1	79	85	77	3	70
178372	5	51	RB	80	81	61	59	64	58	85	83	1	85	63	72	1	47
178509	1	18	ST	80	80	65	80	66	69	53	83	1	87	77	84	1	65
178518	1842	7	CM	80	82	83	72	81	81	76	65	1	72	83	84	2	69
178535	17	27	ST	80	79	72	77	62	79	47	83	0	81	85	80	2	55
180175	1041	54	ST	80	84	88	76	65	83	44	75	1	73	80	77	3	64
180695	234	54	ST	80	78	82	82	71	78	53	74	1	74	80	85	2	82
182495	45	60	CB	80	86	81	58	68	68	81	78	1	75	69	72	1	47
183855	45	27	CB	80	84	77	43	69	59	82	79	1	87	65	70	1	41
184312	50	18	RW	80	84	96	66	72	83	50	62	1	65	80	74	2	56
184943	5	54	CDM	80	82	88	68	79	81	76	72	1	58	82	75	2	50
186832	45	117	LM	80	85	83	76	78	82	74	73	1	81	81	84	3	63
188105	1035	54	CB	80	82	67	60	59	65	80	78	0	81	70	76	1	62
188428	315	108	ST	80	84	91	76	64	85	49	73	1	66	81	80	3	70
188567	22	115	RM	80	83	95	76	73	78	55	76	1	72	79	79	2	76
188791	100767	52	CM	80	83	64	80	84	79	70	58	1	70	84	91	2	87
189242	9	54	CAM	80	86	83	69	78	88	41	50	1	49	86	69	3	72
189690	461	45	GK	80	84	80	81	72	85	51	79	0	62	23	35	0	25
189963	1960	108	ST	80	84	73	78	55	74	55	86	1	94	76	89	2	58
190584	243	45	CM	80	85	67	63	82	79	71	59	0	67	83	72	2	71
191202	234	51	CDM	80	85	67	68	77	76	80	77	1	84	80	78	2	67
192366	236	52	CB	80	83	55	50	58	62	81	81	1	77	62	58	1	43
192448	23	21	GK	80	88	80	83	78	83	38	76	0	79	28	38	0	25
192563	32	21	GK	80	85	82	78	84	84	46	77	0	68	28	43	0	25
192985	5	7	CAM	80	86	79	79	80	82	54	55	0	74	82	82	3	76
193130	5	21	LM	80	85	88	82	75	84	50	68	1	64	78	86	3	70
193348	21	47	RM	80	86	87	76	74	86	66	50	1	69	84	85	3	78
194765	457	18	LW	80	88	81	72	77	84	42	54	0	62	80	75	3	70
199110	55	56	ST	80	82	89	78	65	86	43	63	1	66	84	78	3	60
199434	1908	51	LW	80	83	74	72	83	82	48	60	0	65	84	72	3	76
201508	17	60	CAM	80	82	79	75	76	85	51	62	0	64	84	76	3	74
202166	34	21	LM	80	86	78	78	79	85	45	54	0	62	84	81	3	72
204525	457	45	CB	80	86	77	55	59	58	80	79	0	78	66	82	1	31
205525	101059	54	CAM	80	86	91	71	76	86	43	50	1	21	83	76	4	76
330	697	25	ST	79	79	71	79	68	81	47	63	1	65	85	81	2	62
684	5	195	GK	79	77	75	81	69	79	50	81	0	70	25	28	0	25
1099	111139	27	ST	79	73	80	76	67	77	50	72	1	66	75	73	2	67
2147	144	34	GK	79	77	84	74	82	79	35	77	1	77	30	25	0	25
5485	22	21	CDM	79	78	56	61	74	65	81	79	1	83	74	77	1	48
6826	7	14	CDM	79	80	45	70	82	69	80	74	0	77	76	77	1	78
7784	110089	18	ST	79	78	84	75	62	72	48	78	0	82	74	80	2	61
8517	144	14	CDM	79	76	57	71	77	75	80	74	0	68	73	78	1	65
11983	18	95	GK	79	78	76	81	78	79	45	82	0	74	22	28	0	25
20556	1896	54	RW	79	76	77	70	79	81	61	62	0	70	81	77	3	78
28765	1629	54	CAM	79	78	73	70	82	82	66	58	0	58	83	71	3	73
39943	247	167	CM	79	79	79	68	75	80	48	60	0	60	80	68	4	75
49031	1843	27	GK	79	75	81	79	70	81	59	79	0	64	30	41	0	25
53578	47	34	CDM	79	84	66	56	73	70	81	76	1	80	78	72	1	51
106231	448	45	ST	79	79	67	76	56	69	53	88	1	80	76	82	2	52
120238	110556	27	CDM	79	74	55	74	86	76	69	60	1	68	80	78	2	89
120312	18	14	CB	79	79	52	30	53	39	80	83	0	82	62	61	1	25
121122	32	21	CDM	79	78	58	65	79	66	79	76	0	77	76	68	1	62
135466	234	54	GK	79	76	78	80	70	78	45	84	1	76	28	40	0	25
137506	48	19	CF	79	79	75	81	73	82	51	71	1	69	85	78	2	76
137782	9	14	RB	79	78	85	63	74	76	76	74	1	72	73	78	2	53
138782	11	42	CM	79	75	58	66	82	68	81	78	1	69	76	76	1	46
139062	573	52	GK	79	79	79	69	68	86	52	84	1	76	29	22	0	25
140384	1035	54	ST	79	82	74	75	64	75	46	82	0	87	78	80	2	65
142773	1053	52	CM	79	79	81	72	74	84	51	58	0	58	84	72	4	74
146760	240	45	RB	79	79	83	59	73	79	81	62	1	74	80	70	2	59
149184	48	27	RB	79	77	83	74	81	75	77	82	1	78	78	80	1	55
153296	66	18	CAM	79	83	69	74	81	81	60	73	1	76	84	78	3	81
154950	312	40	LM	79	79	79	70	78	78	70	59	0	67	78	72	2	78
